review_id,source,product_type,brand,region,date,rating,feedback_text,_true_themes
EV1028,Marketplace Review,EV Scooter,Bajaj Chetak,North,4/10/2024,5,For daily commute the range is fine but long trips are stressful because of low range.,Range Anxiety
EV1029,Social Media,EV Scooter,Ola S1,South,7/13/2024,4,"Read reports about battery fires, safety is my biggest concern before buying. Bluetooth connectivity drops frequently while riding, very frustrating.","Safety Features, Software & Connectivity"
EV1030,Marketplace Review,EV Car,Hyundai Kona,South,3/18/2024,4,"The companion app keeps crashing, needs urgent software updates. Advanced safety features like ABS and traction control give peace of mind.","Software & Connectivity, Safety Features"
EV1031,Social Media,EV Car,Tata Nexon EV,South,2/20/2025,3,"Bluetooth connectivity drops frequently while riding, very frustrating.",Software & Connectivity
EV1032,Survey,EV Car,Mahindra XUV400,South,1/23/2025,3,"Range anxiety is real, I plan every trip around charging stops now. LED lighting and digital dashboard give it a premium, modern look.","Range Anxiety, Design & Aesthetics"
EV1033,Marketplace Review,EV Scooter,TVS iQube,Central,5/13/2025,5,Battery health dropped to 85% within 18 months of daily use.,Battery Life & Degradation
EV1034,Survey,EV Scooter,Ather 450X,Central,3/3/2024,5,Acceleration is smooth and instant torque makes overtaking effortless.,Performance & Ride Quality
EV1035,Marketplace Review,EV Car,BYD Atto 3,Central,6/27/2025,3,"Battery performance is stable even after two years of heavy usage. Range drops badly in winter, I lost almost 30% range in cold weather.","Battery Life & Degradation, Range Anxiety"
EV1036,Survey,EV Car,Tata Nexon EV,South,2/17/2025,3,"Finding a working charging station in my city is still very difficult. Running cost is much lower than petrol, saving a lot on fuel every month.","Charging Infrastructure, Price & Subsidy"
EV1037,Customer Support,EV Scooter,Hero Vida V1,East,7/28/2024,4,"Braking system feels sharp and responsive, regenerative braking works well. Insurance premium for EV is surprisingly high compared to petrol vehicles.","Performance & Ride Quality, Price & Subsidy"
EV1038,Customer Support,EV Car,Tesla Model 3,West,11/19/2024,5,"Charging infrastructure in tier 2 and tier 3 cities is almost non-existent. Range drops badly in winter, I lost almost 30% range in cold weather.","Charging Infrastructure, Range Anxiety"
EV1039,Social Media,EV Car,BYD Atto 3,Central,9/28/2024,4,The battery warranty of 100 years gives me confidence in long term reliability.,Battery Life & Degradation
EV1040,Customer Support,EV Car,Hyundai Kona,South,3/24/2025,4,Stability control on wet roads is impressive and inspires confidence.,Safety Features
EV1041,Survey,EV Scooter,Ampere Magnus,Central,11/2/2024,4,Home charging setup was expensive and took weeks to install.,Charging Infrastructure
EV1042,Survey,EV Scooter,Ola S1,Central,6/8/2024,3,"After sales support has been excellent, quick response and doorstep service.",Service & After-Sales
EV1043,Customer Support,EV Car,Tesla Model 3,South,9/27/2024,5,Emergency braking and collision alert systems work really well in traffic.,Safety Features
EV1044,Survey,EV Scooter,Ola S1,West,10/10/2024,3,"I'm always worried about running out of charge before reaching my destination. Concerned about environmental impact of battery disposal and recycling. Suspension is too stiff, ride quality is uncomfortable on bad roads.","Range Anxiety, Environmental Impact, Performance & Ride Quality"
EV1045,Marketplace Review,EV Scooter,Ampere Magnus,Central,1/10/2024,3,"Home charging setup was expensive and took weeks to install. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.","Charging Infrastructure, Environmental Impact"
EV1046,Social Media,EV Car,Hyundai Kona,West,5/10/2024,4,"Range anxiety is real, I plan every trip around charging stops now.",Range Anxiety
EV1047,Customer Support,EV Scooter,Ola S1,South,9/12/2024,4,"Love the app that shows nearby charging stations, very convenient feature.",Charging Infrastructure
EV1048,Social Media,EV Scooter,Ampere Magnus,South,6/15/2024,5,"Battery health dropped to 85% within 18 months of daily use. Build materials feel sturdy but the design is a bit too plain compared to rivals. AC usage kills the range, on hot days I barely get half the claimed distance.","Battery Life & Degradation, Design & Aesthetics, Range Anxiety"
EV1049,Social Media,EV Scooter,Hero Vida V1,East,6/12/2024,5,"Finding a working charging station in my city is still very difficult. LED lighting and digital dashboard give it a premium, modern look.","Charging Infrastructure, Design & Aesthetics"
EV1050,Social Media,EV Scooter,Ather 450X,West,12/24/2024,5,"There are very few authorized service centers, had to travel 80 km for repair. Price after subsidy is still higher than a comparable petrol scooter.","Service & After-Sales, Price & Subsidy"
EV1051,Customer Support,EV Scooter,TVS iQube,North,10/12/2024,4,"Noise levels are impressively low, riding experience is very smooth and quiet. Stability control on wet roads is impressive and inspires confidence.","Performance & Ride Quality, Safety Features"
EV1052,Survey,EV Scooter,Ola S1,East,7/1/2024,4,Concerned about environmental impact of battery disposal and recycling.,Environmental Impact
EV1053,Marketplace Review,EV Car,Tata Nexon EV,East,11/17/2024,4,Compact size makes it easy to park and maneuver in city traffic.,Design & Aesthetics
EV1054,Social Media,EV Car,Mahindra XUV400,East,2/15/2024,3,"Compact size makes it easy to park and maneuver in city traffic. Claimed range of 250 km is misleading, actual range is way less in city traffic.","Design & Aesthetics, Range Anxiety"
EV1055,Customer Support,EV Scooter,Ola S1,Central,11/17/2024,4,"Charging takes too long, almost 6 hours for a full charge at home.",Charging Infrastructure
EV1056,Marketplace Review,EV Scooter,Hero Vida V1,East,2/16/2025,4,Customer support over phone is helpful and resolves issues quickly.,Service & After-Sales
EV1057,Marketplace Review,EV Car,MG ZS EV,West,6/27/2024,4,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",Environmental Impact
EV1058,Survey,EV Scooter,Bajaj Chetak,East,10/20/2024,3,Insurance premium for EV is surprisingly high compared to petrol vehicles.,Price & Subsidy
EV1059,Marketplace Review,EV Scooter,Bajaj Chetak,West,8/6/2024,5,"Stability control on wet roads is impressive and inspires confidence. The companion app keeps crashing, needs urgent software updates. The battery warranty of 20 years gives me confidence in long term reliability.","Safety Features, Software & Connectivity, Battery Life & Degradation"
EV1060,Social Media,EV Scooter,Ola S1,East,8/18/2024,4,The upfront price is high but government subsidy makes it affordable. Battery health dropped to 85% within 18 months of daily use. Battery range degrades faster than expected after just one year of use.,"Price & Subsidy, Battery Life & Degradation, Range Anxiety"
EV1061,Marketplace Review,EV Car,Mahindra XUV400,Central,7/18/2024,3,"Storage space under the seat is very limited, not practical for daily use.",Design & Aesthetics
EV1062,Social Media,EV Scooter,Ather 450X,North,4/19/2024,4,"Interior quality feels cheap for the price point, needs improvement.",Design & Aesthetics
EV1063,Marketplace Review,EV Car,Tesla Model 3,North,9/12/2024,4,Charging infrastructure in tier 2 and tier 3 cities is almost non-existent.,Charging Infrastructure
EV1064,Customer Support,EV Car,Mahindra XUV400,West,5/31/2025,4,"LED lighting and digital dashboard give it a premium, modern look.",Design & Aesthetics
EV1065,Marketplace Review,EV Scooter,Ather 450X,West,9/22/2024,3,EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,Price & Subsidy
EV1066,Social Media,EV Scooter,Hero Vida V1,East,3/26/2025,4,"Charging takes too long, almost 6 hours for a full charge at home.",Charging Infrastructure
EV1067,Customer Support,EV Car,Hyundai Kona,East,3/23/2024,4,Battery health dropped to 85% within 18 months of daily use.,Battery Life & Degradation
EV1068,Social Media,EV Car,Mahindra XUV400,South,3/6/2024,4,"Loved the color options and the overall styling of the vehicle. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.","Design & Aesthetics, Environmental Impact"
EV1069,Survey,EV Scooter,Bajaj Chetak,South,3/6/2025,5,"LED lighting and digital dashboard give it a premium, modern look. For daily commute the range is fine but long trips are stressful because of low range.","Design & Aesthetics, Range Anxiety"
EV1070,Customer Support,EV Scooter,Ola S1,East,2/3/2025,5,Compact size makes it easy to park and maneuver in city traffic.,Design & Aesthetics
EV1071,Social Media,EV Car,Mahindra XUV400,East,3/22/2025,5,"The companion app keeps crashing, needs urgent software updates.",Software & Connectivity
EV1072,Marketplace Review,EV Scooter,TVS iQube,South,4/23/2025,4,Battery performance is stable even after two years of heavy usage.,Battery Life & Degradation
EV1073,Survey,EV Car,Mahindra XUV400,North,3/14/2025,4,"Battery replacement cost is almost half the price of the vehicle, very concerning.",Battery Life & Degradation
EV1074,Customer Support,EV Car,Tata Nexon EV,West,12/1/2024,5,"For the price, I expected better build quality and more features.",Price & Subsidy
EV1075,Marketplace Review,EV Scooter,TVS iQube,East,3/7/2025,5,"Had a great experience with the service team, they explained everything clearly.",Service & After-Sales
EV1076,Survey,EV Car,Mahindra XUV400,Central,2/23/2024,5,The motor is powerful and pickup is much better than petrol variants.,Performance & Ride Quality
EV1077,Survey,EV Car,Tesla Model 3,North,9/10/2024,3,The upfront price is high but government subsidy makes it affordable.,Price & Subsidy
EV1078,Social Media,EV Car,MG ZS EV,West,4/27/2024,4,Contributing to a cleaner city is a big motivation behind going electric. EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,"Environmental Impact, Price & Subsidy"
EV1079,Survey,EV Scooter,Ather 450X,South,11/14/2024,4,Finding a working charging station in my city is still very difficult.,Charging Infrastructure
EV1080,Marketplace Review,EV Scooter,Ampere Magnus,West,7/22/2024,4,Fast charging network needs serious expansion on highways.,Charging Infrastructure
EV1081,Customer Support,EV Car,Tesla Model 3,Central,5/3/2024,5,Concerned about environmental impact of battery disposal and recycling. For daily commute the range is fine but long trips are stressful because of low range.,"Environmental Impact, Range Anxiety"
EV1082,Customer Support,EV Scooter,Ola S1,North,3/6/2025,4,"Bluetooth connectivity drops frequently while riding, very frustrating. Love the app that shows nearby charging stations, very convenient feature.","Software & Connectivity, Charging Infrastructure"
EV1083,Social Media,EV Scooter,Hero Vida V1,West,6/29/2024,5,Stability control on wet roads is impressive and inspires confidence.,Safety Features
EV1084,Marketplace Review,EV Scooter,Ampere Magnus,West,3/22/2025,3,Concerned about environmental impact of battery disposal and recycling.,Environmental Impact
EV1085,Survey,EV Scooter,Ather 450X,East,4/6/2025,5,"For the price, I expected better build quality and more features.",Price & Subsidy
EV1086,Survey,EV Scooter,TVS iQube,West,11/28/2024,5,Battery health dropped to 85% within 18 months of daily use. Touchscreen infotainment system lags and is not very intuitive to use.,"Battery Life & Degradation, Software & Connectivity"
EV1087,Customer Support,EV Scooter,TVS iQube,Central,10/9/2024,5,Advanced safety features like ABS and traction control give peace of mind.,Safety Features
EV1088,Social Media,EV Car,Tata Nexon EV,West,5/15/2025,4,"Read reports about battery fires, safety is my biggest concern before buying.",Safety Features
EV1089,Marketplace Review,EV Scooter,Hero Vida V1,West,1/18/2024,5,"Charging takes too long, almost 6 hours for a full charge at home.",Charging Infrastructure
EV1090,Social Media,EV Car,Mahindra XUV400,East,1/12/2025,4,Navigation system integrated with range prediction is genuinely useful.,Software & Connectivity
EV1091,Customer Support,EV Scooter,Bajaj Chetak,East,4/9/2025,3,"After sales support has been excellent, quick response and doorstep service. Zero tailpipe emissions is the main reason I chose an electric vehicle.","Service & After-Sales, Environmental Impact"
EV1092,Social Media,EV Car,Tesla Model 3,East,5/2/2024,5,"Read reports about battery fires, safety is my biggest concern before buying. Battery health dropped to 85% within 18 months of daily use.","Safety Features, Battery Life & Degradation"
EV1093,Customer Support,EV Scooter,TVS iQube,North,7/17/2024,4,"There are very few authorized service centers, had to travel 250 km for repair.",Service & After-Sales
EV1094,Survey,EV Car,Hyundai Kona,Central,5/9/2024,4,Service center staff are not well trained to handle EV specific issues.,Service & After-Sales
EV1095,Customer Support,EV Car,BYD Atto 3,South,5/17/2025,5,"Charging takes too long, almost 6 hours for a full charge at home. Battery range degrades faster than expected after just one year of use.","Charging Infrastructure, Range Anxiety"
EV1096,Customer Support,EV Scooter,Bajaj Chetak,South,2/22/2024,3,"Service center staff are not well trained to handle EV specific issues. Smart key and app based lock features work flawlessly, very convenient.","Service & After-Sales, Software & Connectivity"
EV1097,Marketplace Review,EV Car,Mahindra XUV400,North,2/24/2024,4,Battery health dropped to 85% within 18 months of daily use.,Battery Life & Degradation
EV1098,Social Media,EV Scooter,Ola S1,North,3/2/2025,5,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",Environmental Impact
EV1099,Marketplace Review,EV Car,BYD Atto 3,West,3/29/2025,4,"After sales support has been excellent, quick response and doorstep service. Compact size makes it easy to park and maneuver in city traffic.","Service & After-Sales, Design & Aesthetics"
EV1100,Survey,EV Car,BYD Atto 3,South,8/4/2024,5,"There are very few authorized service centers, had to travel 150 km for repair. Home charging setup was expensive and took weeks to install.","Service & After-Sales, Charging Infrastructure"
EV1101,Survey,EV Car,MG ZS EV,West,4/6/2025,4,Contributing to a cleaner city is a big motivation behind going electric.,Environmental Impact
EV1102,Social Media,EV Scooter,Ola S1,East,10/16/2024,3,"The companion app keeps crashing, needs urgent software updates.",Software & Connectivity
EV1103,Social Media,EV Car,Hyundai Kona,West,4/27/2024,5,"Read reports about battery fires, safety is my biggest concern before buying.",Safety Features
EV1104,Social Media,EV Car,Hyundai Kona,North,3/2/2024,4,"Battery performance is stable even after two years of heavy usage. Waiting time for service appointment is too long, more service centers needed.","Battery Life & Degradation, Service & After-Sales"
EV1105,Survey,EV Scooter,Bajaj Chetak,West,11/7/2024,4,"Storage space under the seat is very limited, not practical for daily use. Service center staff are not well trained to handle EV specific issues. Navigation system integrated with range prediction is genuinely useful.","Design & Aesthetics, Service & After-Sales, Software & Connectivity"
EV1106,Customer Support,EV Car,Mahindra XUV400,Central,9/13/2024,3,"The real world range is much lower than advertised, I only get 8 km on a full charge. Charging takes too long, almost 6 hours for a full charge at home. The upfront price is high but government subsidy makes it affordable.","Range Anxiety, Charging Infrastructure, Price & Subsidy"
EV1107,Marketplace Review,EV Car,Mahindra XUV400,East,7/4/2024,5,Contributing to a cleaner city is a big motivation behind going electric.,Environmental Impact
EV1108,Marketplace Review,EV Scooter,Ola S1,East,2/22/2025,3,Handling and stability at high speed feels very confident and safe. Zero tailpipe emissions is the main reason I chose an electric vehicle.,"Performance & Ride Quality, Environmental Impact"
EV1109,Marketplace Review,EV Scooter,Bajaj Chetak,East,2/14/2025,4,"Emergency braking and collision alert systems work really well in traffic. Range drops badly in winter, I lost almost 30% range in cold weather.","Safety Features, Range Anxiety"
EV1110,Customer Support,EV Scooter,TVS iQube,North,2/17/2025,4,"Emergency braking and collision alert systems work really well in traffic. The real world range is much lower than advertised, I only get 150 km on a full charge. Navigation system integrated with range prediction is genuinely useful.","Safety Features, Range Anxiety, Software & Connectivity"
EV1111,Marketplace Review,EV Scooter,Ampere Magnus,West,2/22/2024,5,EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,Price & Subsidy
EV1112,Marketplace Review,EV Car,Hyundai Kona,West,5/4/2024,4,I'm always worried about running out of charge before reaching my destination. EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,"Range Anxiety, Price & Subsidy"
EV1113,Marketplace Review,EV Car,BYD Atto 3,North,8/18/2024,4,"Public chargers are often broken or occupied, need more charging stations urgently. Software glitches caused the dashboard to freeze twice in a month.","Charging Infrastructure, Software & Connectivity"
EV1114,Customer Support,EV Car,Mahindra XUV400,Central,10/6/2024,4,"Storage space under the seat is very limited, not practical for daily use. Over the air software updates are a great feature, keeps improving over time.","Design & Aesthetics, Software & Connectivity"
EV1115,Social Media,EV Scooter,Ampere Magnus,West,7/14/2024,5,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",Environmental Impact
EV1116,Customer Support,EV Car,Tata Nexon EV,West,12/14/2024,4,"Advanced safety features like ABS and traction control give peace of mind. After sales support has been excellent, quick response and doorstep service.","Safety Features, Service & After-Sales"
EV1117,Marketplace Review,EV Scooter,Ampere Magnus,South,4/2/2025,4,"The vehicle has good crash test ratings which reassured my purchase decision. Navigation system integrated with range prediction is genuinely useful. Noise levels are impressively low, riding experience is very smooth and quiet.","Safety Features, Software & Connectivity, Performance & Ride Quality"
EV1118,Social Media,EV Scooter,TVS iQube,South,1/27/2025,5,Insurance premium for EV is surprisingly high compared to petrol vehicles.,Price & Subsidy
EV1119,Marketplace Review,EV Car,Hyundai Kona,West,1/30/2025,4,"Worried about battery degradation and replacement cost after warranty ends. Over the air software updates are a great feature, keeps improving over time.","Battery Life & Degradation, Software & Connectivity"
EV1120,Marketplace Review,EV Scooter,Ola S1,North,6/22/2025,4,Software glitches caused the dashboard to freeze twice in a month. I'm always worried about running out of charge before reaching my destination.,"Software & Connectivity, Range Anxiety"
EV1121,Social Media,EV Scooter,Hero Vida V1,North,4/25/2025,4,"After sales support has been excellent, quick response and doorstep service.",Service & After-Sales
EV1122,Survey,EV Scooter,Hero Vida V1,East,1/24/2025,4,Build quality feels premium and the ride is extremely comfortable.,Performance & Ride Quality
EV1123,Survey,EV Car,BYD Atto 3,South,10/21/2024,3,"Running cost is much lower than petrol, saving a lot on fuel every month.",Price & Subsidy
EV1124,Survey,EV Scooter,Ola S1,West,6/19/2024,3,Service center staff are not well trained to handle EV specific issues.,Service & After-Sales
EV1125,Survey,EV Car,Hyundai Kona,East,1/2/2025,4,"Suspension is too stiff, ride quality is uncomfortable on bad roads. Interior quality feels cheap for the price point, needs improvement.","Performance & Ride Quality, Design & Aesthetics"
EV1126,Social Media,EV Scooter,Ampere Magnus,South,6/28/2024,3,"Highway charging stops are rare, long distance travel is a nightmare.",Charging Infrastructure
EV1127,Social Media,EV Car,Mahindra XUV400,South,4/17/2025,3,"Spare parts availability is a major issue, waited a month for a replacement part.",Service & After-Sales
EV1128,Survey,EV Scooter,Hero Vida V1,West,10/21/2024,4,"Advanced safety features like ABS and traction control give peace of mind. Battery replacement cost is almost half the price of the vehicle, very concerning.","Safety Features, Battery Life & Degradation"
EV1129,Customer Support,EV Scooter,Ampere Magnus,West,9/13/2024,3,"Smart key and app based lock features work flawlessly, very convenient.",Software & Connectivity
EV1130,Marketplace Review,EV Scooter,Ather 450X,West,4/19/2024,5,Insurance premium for EV is surprisingly high compared to petrol vehicles.,Price & Subsidy
EV1131,Customer Support,EV Scooter,Ampere Magnus,East,1/23/2024,5,The design looks futuristic and attracts a lot of attention on the road. Customer support over phone is helpful and resolves issues quickly.,"Design & Aesthetics, Service & After-Sales"
EV1132,Marketplace Review,EV Car,BYD Atto 3,East,8/23/2024,4,Zero tailpipe emissions is the main reason I chose an electric vehicle. The motor is powerful and pickup is much better than petrol variants.,"Environmental Impact, Performance & Ride Quality"
EV1133,Social Media,EV Scooter,Hero Vida V1,North,2/10/2024,4,"Had a great experience with the service team, they explained everything clearly.",Service & After-Sales
EV1134,Customer Support,EV Scooter,Ola S1,South,4/2/2024,4,"Waiting time for service appointment is too long, more service centers needed. Noise levels are impressively low, riding experience is very smooth and quiet.","Service & After-Sales, Performance & Ride Quality"
EV1135,Social Media,EV Car,MG ZS EV,Central,1/9/2025,3,"Heard about a thermal runaway incident, this has shaken my trust in EV safety.",Safety Features
EV1136,Customer Support,EV Scooter,Ather 450X,West,10/29/2024,3,Handling and stability at high speed feels very confident and safe.,Performance & Ride Quality
EV1137,Social Media,EV Scooter,Ola S1,South,2/10/2025,5,The vehicle has good crash test ratings which reassured my purchase decision.,Safety Features
EV1138,Survey,EV Car,Mahindra XUV400,East,5/6/2024,4,Touchscreen infotainment system lags and is not very intuitive to use.,Software & Connectivity
EV1139,Marketplace Review,EV Scooter,Ampere Magnus,East,4/20/2024,3,The upfront price is high but government subsidy makes it affordable. Navigation system integrated with range prediction is genuinely useful.,"Price & Subsidy, Software & Connectivity"
EV1140,Social Media,EV Scooter,Ampere Magnus,North,4/20/2025,4,"Service center staff are not well trained to handle EV specific issues. Interior quality feels cheap for the price point, needs improvement.","Service & After-Sales, Design & Aesthetics"
EV1141,Customer Support,EV Car,Tata Nexon EV,West,4/28/2024,5,Home charging setup was expensive and took weeks to install. Insurance premium for EV is surprisingly high compared to petrol vehicles.,"Charging Infrastructure, Price & Subsidy"
EV1142,Marketplace Review,EV Scooter,TVS iQube,Central,6/7/2024,4,Build materials feel sturdy but the design is a bit too plain compared to rivals.,Design & Aesthetics
EV1143,Marketplace Review,EV Car,Mahindra XUV400,East,2/3/2024,3,"Build quality feels premium and the ride is extremely comfortable. For the price, I expected better build quality and more features.","Performance & Ride Quality, Price & Subsidy"
EV1144,Survey,EV Car,Hyundai Kona,East,1/2/2025,4,For daily commute the range is fine but long trips are stressful because of low range.,Range Anxiety
EV1145,Survey,EV Scooter,Ather 450X,West,4/3/2024,5,The upfront price is high but government subsidy makes it affordable.,Price & Subsidy
EV1146,Social Media,EV Car,Hyundai Kona,South,7/29/2024,3,Fast charging network needs serious expansion on highways.,Charging Infrastructure
EV1147,Customer Support,EV Car,MG ZS EV,South,1/3/2024,4,"Had a great experience with the service team, they explained everything clearly.",Service & After-Sales
EV1148,Customer Support,EV Car,MG ZS EV,South,4/22/2024,5,I'm always worried about running out of charge before reaching my destination.,Range Anxiety
EV1149,Social Media,EV Car,Hyundai Kona,Central,11/27/2024,5,I'm always worried about running out of charge before reaching my destination.,Range Anxiety
EV1150,Social Media,EV Scooter,Ola S1,West,6/22/2025,4,"Public chargers are often broken or occupied, need more charging stations urgently.",Charging Infrastructure
EV1151,Customer Support,EV Scooter,Bajaj Chetak,Central,4/21/2024,5,"Over the air software updates are a great feature, keeps improving over time. Heard about a thermal runaway incident, this has shaken my trust in EV safety.","Software & Connectivity, Safety Features"
EV1152,Customer Support,EV Car,Tesla Model 3,West,2/1/2024,3,"For daily commute the range is fine but long trips are stressful because of low range. Bluetooth connectivity drops frequently while riding, very frustrating.","Range Anxiety, Software & Connectivity"
EV1153,Marketplace Review,EV Car,Mahindra XUV400,North,3/23/2024,4,Handling and stability at high speed feels very confident and safe. Battery health dropped to 85% within 18 months of daily use.,"Performance & Ride Quality, Battery Life & Degradation"
EV1154,Customer Support,EV Scooter,Ampere Magnus,West,6/27/2025,3,"Service center staff are not well trained to handle EV specific issues. Smart key and app based lock features work flawlessly, very convenient. Build materials feel sturdy but the design is a bit too plain compared to rivals.","Service & After-Sales, Software & Connectivity, Design & Aesthetics"
EV1155,Social Media,EV Car,Tesla Model 3,West,4/7/2025,4,"Resale value of electric vehicles is still uncertain, worried about depreciation. LED lighting and digital dashboard give it a premium, modern look.","Price & Subsidy, Design & Aesthetics"
EV1156,Marketplace Review,EV Scooter,Bajaj Chetak,North,11/16/2024,5,Loved the color options and the overall styling of the vehicle.,Design & Aesthetics
EV1157,Social Media,EV Scooter,TVS iQube,West,3/9/2024,4,"Public chargers are often broken or occupied, need more charging stations urgently.",Charging Infrastructure
EV1158,Survey,EV Car,Mahindra XUV400,East,5/13/2024,4,"Stability control on wet roads is impressive and inspires confidence. Range drops badly in winter, I lost almost 30% range in cold weather. Noise levels are impressively low, riding experience is very smooth and quiet.","Safety Features, Range Anxiety, Performance & Ride Quality"
EV1159,Marketplace Review,EV Scooter,Hero Vida V1,North,10/21/2024,4,Concerned about environmental impact of battery disposal and recycling.,Environmental Impact
EV1160,Social Media,EV Scooter,Ola S1,South,5/8/2025,3,"Resale value of electric vehicles is still uncertain, worried about depreciation. Love the app that shows nearby charging stations, very convenient feature.","Price & Subsidy, Charging Infrastructure"
EV1161,Social Media,EV Car,Hyundai Kona,West,1/27/2024,4,"Switching to EV feels good knowing I'm reducing my carbon footprint. There are very few authorized service centers, had to travel 200 km for repair.","Environmental Impact, Service & After-Sales"
