review_id,product_type,brand,rating,feedback_text,bert_topic,bert_topic_label,bert_topic_confidence
EV1030,EV Car,Hyundai Kona,4,"The companion app keeps crashing, needs urgent software updates. Advanced safety features like ABS and traction control give peace of mind.",17,"Topic 17: app keeps, crashing, crashing needs, companion app, companion, urgent software",1.0
EV1031,EV Car,Tata Nexon EV,3,"Bluetooth connectivity drops frequently while riding, very frustrating.",11,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently",1.0
EV1032,EV Car,Mahindra XUV400,3,"Range anxiety is real, I plan every trip around charging stops now. LED lighting and digital dashboard give it a premium, modern look.",20,"Topic 20: dashboard, caused, freeze twice, glitches, freeze, glitches caused",0.0006139865863921499
EV1033,EV Scooter,TVS iQube,5,Battery health dropped to 85% within 18 months of daily use.,13,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily",1.0
EV1034,EV Scooter,Ather 450X,5,Acceleration is smooth and instant torque makes overtaking effortless.,23,"Topic 23: 30 range, badly, badly winter, cold weather, drops badly, cold",1.0
EV1035,EV Car,BYD Atto 3,3,"Battery performance is stable even after two years of heavy usage. Range drops badly in winter, I lost almost 30% range in cold weather.",23,"Topic 23: 30 range, badly, badly winter, cold weather, drops badly, cold",0.08825772129472723
EV1036,EV Car,Tata Nexon EV,3,"Finding a working charging station in my city is still very difficult. Running cost is much lower than petrol, saving a lot on fuel every month.",0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",1.0
EV1037,EV Scooter,Hero Vida V1,4,"Braking system feels sharp and responsive, regenerative braking works well. Insurance premium for EV is surprisingly high compared to petrol vehicles.",24,"Topic 24: braking, braking feels, braking works, responsive, regenerative braking, responsive regenerative",1.0
EV1038,EV Car,Tesla Model 3,5,"Charging infrastructure in tier 2 and tier 3 cities is almost non-existent. Range drops badly in winter, I lost almost 30% range in cold weather.",16,"Topic 16: tier, surprisingly, surprisingly high, compared petrol, insurance premium, insurance",1.0
EV1039,EV Car,BYD Atto 3,4,The battery warranty of 100 years gives me confidence in long term reliability.,4,"Topic 4: big motivation, big, motivation going, motivation, contributing, going",1.0
EV1040,EV Car,Hyundai Kona,4,Stability control on wet roads is impressive and inspires confidence.,3,"Topic 3: low, stability control, control wet, impressive, impressive inspires, wet",1.0
EV1041,EV Scooter,Ampere Magnus,4,Home charging setup was expensive and took weeks to install.,11,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently",1.0
EV1042,EV Scooter,Ola S1,3,"After sales support has been excellent, quick response and doorstep service.",21,"Topic 21: cost warranty, battery degradation, warranty ends, ends, degradation replacement, worried battery",1.0
EV1043,EV Car,Tesla Model 3,5,Emergency braking and collision alert systems work really well in traffic.,0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",0.015254685014420316
EV1044,EV Scooter,Ola S1,3,"I'm always worried about running out of charge before reaching my destination. Concerned about environmental impact of battery disposal and recycling. Suspension is too stiff, ride quality is uncomfortable on bad roads.",12,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental",0.0414493487233424
EV1045,EV Scooter,Ampere Magnus,3,"Home charging setup was expensive and took weeks to install. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",6,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes",1.0
EV1046,EV Car,Hyundai Kona,4,"Range anxiety is real, I plan every trip around charging stops now.",15,"Topic 15: highway, discount, ev subsidy, delayed discount, subsidy scheme, state got",0.0006139871922681649
EV1047,EV Scooter,Ola S1,4,"Love the app that shows nearby charging stations, very convenient feature.",8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",0.01113657970728447
EV1048,EV Scooter,Ampere Magnus,5,"Battery health dropped to 85% within 18 months of daily use. Build materials feel sturdy but the design is a bit too plain compared to rivals. AC usage kills the range, on hot days I barely get half the claimed distance.",13,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily",0.9471895810565474
EV1049,EV Scooter,Hero Vida V1,5,"Finding a working charging station in my city is still very difficult. LED lighting and digital dashboard give it a premium, modern look.",0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",1.0
EV1050,EV Scooter,Ather 450X,5,"There are very few authorized service centers, had to travel 80 km for repair. Price after subsidy is still higher than a comparable petrol scooter.",6,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes",0.005800634754560807
EV1051,EV Scooter,TVS iQube,4,"Noise levels are impressively low, riding experience is very smooth and quiet. Stability control on wet roads is impressive and inspires confidence.",3,"Topic 3: low, stability control, control wet, impressive, impressive inspires, wet",0.19806197972764675
EV1052,EV Scooter,Ola S1,4,Concerned about environmental impact of battery disposal and recycling.,12,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental",1.0
EV1053,EV Car,Tata Nexon EV,4,Compact size makes it easy to park and maneuver in city traffic.,2,"Topic 2: makes, high, size makes, park, easy, maneuver",0.09151193190113724
EV1054,EV Car,Mahindra XUV400,3,"Compact size makes it easy to park and maneuver in city traffic. Claimed range of 250 km is misleading, actual range is way less in city traffic.",2,"Topic 2: makes, high, size makes, park, easy, maneuver",0.08959250173704904
EV1055,EV Scooter,Ola S1,4,"Charging takes too long, almost 6 hours for a full charge at home.",11,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently",0.010413899101479138
EV1056,EV Scooter,Hero Vida V1,4,Customer support over phone is helpful and resolves issues quickly.,0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",1.0
EV1057,EV Car,MG ZS EV,4,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",6,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes",1.0
EV1058,EV Scooter,Bajaj Chetak,3,Insurance premium for EV is surprisingly high compared to petrol vehicles.,16,"Topic 16: tier, surprisingly, surprisingly high, compared petrol, insurance premium, insurance",1.0
EV1059,EV Scooter,Bajaj Chetak,5,"Stability control on wet roads is impressive and inspires confidence. The companion app keeps crashing, needs urgent software updates. The battery warranty of 20 years gives me confidence in long term reliability.",17,"Topic 17: app keeps, crashing, crashing needs, companion app, companion, urgent software",0.8695288450621866
EV1060,EV Scooter,Ola S1,4,The upfront price is high but government subsidy makes it affordable. Battery health dropped to 85% within 18 months of daily use. Battery range degrades faster than expected after just one year of use.,13,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily",1.0
EV1061,EV Car,Mahindra XUV400,3,"Storage space under the seat is very limited, not practical for daily use.",5,"Topic 5: air software, improving, great feature, keeps improving, updates great, improving time",1.0
EV1062,EV Scooter,Ather 450X,4,"Interior quality feels cheap for the price point, needs improvement.",18,"Topic 18: infotainment, infotainment lags, touchscreen, touchscreen infotainment, lags intuitive, lags",1.0
EV1063,EV Car,Tesla Model 3,4,Charging infrastructure in tier 2 and tier 3 cities is almost non-existent.,16,"Topic 16: tier, surprisingly, surprisingly high, compared petrol, insurance premium, insurance",1.0
EV1064,EV Car,Mahindra XUV400,4,"LED lighting and digital dashboard give it a premium, modern look.",20,"Topic 20: dashboard, caused, freeze twice, glitches, freeze, glitches caused",0.04841093981619801
EV1065,EV Scooter,Ather 450X,3,EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,15,"Topic 15: highway, discount, ev subsidy, delayed discount, subsidy scheme, state got",1.0
EV1066,EV Scooter,Hero Vida V1,4,"Charging takes too long, almost 6 hours for a full charge at home.",11,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently",0.01035911508725247
EV1067,EV Car,Hyundai Kona,4,Battery health dropped to 85% within 18 months of daily use.,13,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily",1.0
EV1068,EV Car,Mahindra XUV400,4,"Loved the color options and the overall styling of the vehicle. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",6,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes",0.03322679428343825
EV1069,EV Scooter,Bajaj Chetak,5,"LED lighting and digital dashboard give it a premium, modern look. For daily commute the range is fine but long trips are stressful because of low range.",1,"Topic 1: range, transparent, proper, time company, proper information, battery degrades",0.0490538493762132
EV1070,EV Scooter,Ola S1,5,Compact size makes it easy to park and maneuver in city traffic.,2,"Topic 2: makes, high, size makes, park, easy, maneuver",0.09136192607106415
EV1071,EV Car,Mahindra XUV400,5,"The companion app keeps crashing, needs urgent software updates.",17,"Topic 17: app keeps, crashing, crashing needs, companion app, companion, urgent software",1.0
EV1072,EV Scooter,TVS iQube,4,Battery performance is stable even after two years of heavy usage.,9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",0.08866316458256952
EV1073,EV Car,Mahindra XUV400,4,"Battery replacement cost is almost half the price of the vehicle, very concerning.",10,"Topic 10: battery replacement, cost half, half price, concerning, price vehicle, vehicle concerning",1.0
EV1074,EV Car,Tata Nexon EV,5,"For the price, I expected better build quality and more features.",9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",0.42214736581409273
EV1075,EV Scooter,TVS iQube,5,"Had a great experience with the service team, they explained everything clearly.",8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",1.0
EV1076,EV Car,Mahindra XUV400,5,The motor is powerful and pickup is much better than petrol variants.,9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",1.0
EV1077,EV Car,Tesla Model 3,3,The upfront price is high but government subsidy makes it affordable.,2,"Topic 2: makes, high, size makes, park, easy, maneuver",0.0016632324938517116
EV1078,EV Car,MG ZS EV,4,Contributing to a cleaner city is a big motivation behind going electric. EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,4,"Topic 4: big motivation, big, motivation going, motivation, contributing, going",0.21212316245950727
EV1079,EV Scooter,Ather 450X,4,Finding a working charging station in my city is still very difficult.,0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",1.0
EV1080,EV Scooter,Ampere Magnus,4,Fast charging network needs serious expansion on highways.,2,"Topic 2: makes, high, size makes, park, easy, maneuver",1.0
EV1081,EV Car,Tesla Model 3,5,Concerned about environmental impact of battery disposal and recycling. For daily commute the range is fine but long trips are stressful because of low range.,1,"Topic 1: range, transparent, proper, time company, proper information, battery degrades",1.0
EV1082,EV Scooter,Ola S1,4,"Bluetooth connectivity drops frequently while riding, very frustrating. Love the app that shows nearby charging stations, very convenient feature.",11,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently",1.0
EV1083,EV Scooter,Hero Vida V1,5,Stability control on wet roads is impressive and inspires confidence.,3,"Topic 3: low, stability control, control wet, impressive, impressive inspires, wet",1.0
EV1084,EV Scooter,Ampere Magnus,3,Concerned about environmental impact of battery disposal and recycling.,12,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental",1.0
EV1085,EV Scooter,Ather 450X,5,"For the price, I expected better build quality and more features.",9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",0.422175262582773
EV1086,EV Scooter,TVS iQube,5,Battery health dropped to 85% within 18 months of daily use. Touchscreen infotainment system lags and is not very intuitive to use.,13,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily",1.0
EV1087,EV Scooter,TVS iQube,5,Advanced safety features like ABS and traction control give peace of mind.,10,"Topic 10: battery replacement, cost half, half price, concerning, price vehicle, vehicle concerning",0.001496546840446987
EV1088,EV Car,Tata Nexon EV,4,"Read reports about battery fires, safety is my biggest concern before buying.",12,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental",0.019765757734697475
EV1089,EV Scooter,Hero Vida V1,5,"Charging takes too long, almost 6 hours for a full charge at home.",11,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently",0.010384637095375722
EV1090,EV Car,Mahindra XUV400,4,Navigation system integrated with range prediction is genuinely useful.,8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",0.029241624236100317
EV1091,EV Scooter,Bajaj Chetak,3,"After sales support has been excellent, quick response and doorstep service. Zero tailpipe emissions is the main reason I chose an electric vehicle.",19,"Topic 19: chose, chose electric, emissions, emissions main, reason, reason chose",1.0
EV1092,EV Car,Tesla Model 3,5,"Read reports about battery fires, safety is my biggest concern before buying. Battery health dropped to 85% within 18 months of daily use.",12,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental",0.019794178877250525
EV1093,EV Scooter,TVS iQube,4,"There are very few authorized service centers, had to travel 250 km for repair.",10,"Topic 10: battery replacement, cost half, half price, concerning, price vehicle, vehicle concerning",0.003667629581579393
EV1094,EV Car,Hyundai Kona,4,Service center staff are not well trained to handle EV specific issues.,7,"Topic 7: ev, good knowing, knowing, feels good, carbon footprint, knowing reducing",1.0
EV1095,EV Car,BYD Atto 3,5,"Charging takes too long, almost 6 hours for a full charge at home. Battery range degrades faster than expected after just one year of use.",9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",0.010402545201578389
EV1096,EV Scooter,Bajaj Chetak,3,"Service center staff are not well trained to handle EV specific issues. Smart key and app based lock features work flawlessly, very convenient.",7,"Topic 7: ev, good knowing, knowing, feels good, carbon footprint, knowing reducing",1.0
EV1097,EV Car,Mahindra XUV400,4,Battery health dropped to 85% within 18 months of daily use.,13,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily",1.0
EV1098,EV Scooter,Ola S1,5,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",6,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes",1.0
EV1099,EV Car,BYD Atto 3,4,"After sales support has been excellent, quick response and doorstep service. Compact size makes it easy to park and maneuver in city traffic.",2,"Topic 2: makes, high, size makes, park, easy, maneuver",0.09126259658644678
EV1100,EV Car,BYD Atto 3,5,"There are very few authorized service centers, had to travel 150 km for repair. Home charging setup was expensive and took weeks to install.",10,"Topic 10: battery replacement, cost half, half price, concerning, price vehicle, vehicle concerning",0.003667412107978858
EV1101,EV Car,MG ZS EV,4,Contributing to a cleaner city is a big motivation behind going electric.,4,"Topic 4: big motivation, big, motivation going, motivation, contributing, going",0.19992685765103585
EV1102,EV Scooter,Ola S1,3,"The companion app keeps crashing, needs urgent software updates.",17,"Topic 17: app keeps, crashing, crashing needs, companion app, companion, urgent software",1.0
EV1103,EV Car,Hyundai Kona,5,"Read reports about battery fires, safety is my biggest concern before buying.",12,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental",0.019856519360126196
EV1104,EV Car,Hyundai Kona,4,"Battery performance is stable even after two years of heavy usage. Waiting time for service appointment is too long, more service centers needed.",14,"Topic 14: service, bit plain, design bit, compared rivals, bit, materials feel",0.0882735018094164
EV1105,EV Scooter,Bajaj Chetak,4,"Storage space under the seat is very limited, not practical for daily use. Service center staff are not well trained to handle EV specific issues. Navigation system integrated with range prediction is genuinely useful.",7,"Topic 7: ev, good knowing, knowing, feels good, carbon footprint, knowing reducing",0.02939243680735363
EV1106,EV Car,Mahindra XUV400,3,"The real world range is much lower than advertised, I only get 8 km on a full charge. Charging takes too long, almost 6 hours for a full charge at home. The upfront price is high but government subsidy makes it affordable.",1,"Topic 1: range, transparent, proper, time company, proper information, battery degrades",1.0
EV1107,EV Car,Mahindra XUV400,5,Contributing to a cleaner city is a big motivation behind going electric.,4,"Topic 4: big motivation, big, motivation going, motivation, contributing, going",0.19961837032961643
EV1108,EV Scooter,Ola S1,3,Handling and stability at high speed feels very confident and safe. Zero tailpipe emissions is the main reason I chose an electric vehicle.,19,"Topic 19: chose, chose electric, emissions, emissions main, reason, reason chose",1.0
EV1109,EV Scooter,Bajaj Chetak,4,"Emergency braking and collision alert systems work really well in traffic. Range drops badly in winter, I lost almost 30% range in cold weather.",0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",0.015273937683552003
EV1110,EV Scooter,TVS iQube,4,"Emergency braking and collision alert systems work really well in traffic. The real world range is much lower than advertised, I only get 150 km on a full charge. Navigation system integrated with range prediction is genuinely useful.",0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",0.015267874229538287
EV1111,EV Scooter,Ampere Magnus,5,EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,15,"Topic 15: highway, discount, ev subsidy, delayed discount, subsidy scheme, state got",1.0
EV1112,EV Car,Hyundai Kona,4,I'm always worried about running out of charge before reaching my destination. EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,15,"Topic 15: highway, discount, ev subsidy, delayed discount, subsidy scheme, state got",1.0
EV1113,EV Car,BYD Atto 3,4,"Public chargers are often broken or occupied, need more charging stations urgently. Software glitches caused the dashboard to freeze twice in a month.",0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",0.008612468896234064
EV1114,EV Car,Mahindra XUV400,4,"Storage space under the seat is very limited, not practical for daily use. Over the air software updates are a great feature, keeps improving over time.",5,"Topic 5: air software, improving, great feature, keeps improving, updates great, improving time",1.0
EV1115,EV Scooter,Ampere Magnus,5,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",6,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes",1.0
EV1116,EV Car,Tata Nexon EV,4,"Advanced safety features like ABS and traction control give peace of mind. After sales support has been excellent, quick response and doorstep service.",21,"Topic 21: cost warranty, battery degradation, warranty ends, ends, degradation replacement, worried battery",0.0014944416686481874
EV1117,EV Scooter,Ampere Magnus,4,"The vehicle has good crash test ratings which reassured my purchase decision. Navigation system integrated with range prediction is genuinely useful. Noise levels are impressively low, riding experience is very smooth and quiet.",8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",1.0
EV1118,EV Scooter,TVS iQube,5,Insurance premium for EV is surprisingly high compared to petrol vehicles.,16,"Topic 16: tier, surprisingly, surprisingly high, compared petrol, insurance premium, insurance",1.0
EV1119,EV Car,Hyundai Kona,4,"Worried about battery degradation and replacement cost after warranty ends. Over the air software updates are a great feature, keeps improving over time.",5,"Topic 5: air software, improving, great feature, keeps improving, updates great, improving time",1.0
EV1120,EV Scooter,Ola S1,4,Software glitches caused the dashboard to freeze twice in a month. I'm always worried about running out of charge before reaching my destination.,20,"Topic 20: dashboard, caused, freeze twice, glitches, freeze, glitches caused",0.8245774103611023
EV1121,EV Scooter,Hero Vida V1,4,"After sales support has been excellent, quick response and doorstep service.",21,"Topic 21: cost warranty, battery degradation, warranty ends, ends, degradation replacement, worried battery",1.0
EV1122,EV Scooter,Hero Vida V1,4,Build quality feels premium and the ride is extremely comfortable.,18,"Topic 18: infotainment, infotainment lags, touchscreen, touchscreen infotainment, lags intuitive, lags",0.010277424129887977
EV1123,EV Car,BYD Atto 3,3,"Running cost is much lower than petrol, saving a lot on fuel every month.",9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",0.00974848623109106
EV1124,EV Scooter,Ola S1,3,Service center staff are not well trained to handle EV specific issues.,7,"Topic 7: ev, good knowing, knowing, feels good, carbon footprint, knowing reducing",1.0
EV1125,EV Car,Hyundai Kona,4,"Suspension is too stiff, ride quality is uncomfortable on bad roads. Interior quality feels cheap for the price point, needs improvement.",8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",0.181622487385643
EV1126,EV Scooter,Ampere Magnus,3,"Highway charging stops are rare, long distance travel is a nightmare.",15,"Topic 15: highway, discount, ev subsidy, delayed discount, subsidy scheme, state got",1.0
EV1127,EV Car,Mahindra XUV400,3,"Spare parts availability is a major issue, waited a month for a replacement part.",0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",0.1903690898603418
EV1128,EV Scooter,Hero Vida V1,4,"Advanced safety features like ABS and traction control give peace of mind. Battery replacement cost is almost half the price of the vehicle, very concerning.",10,"Topic 10: battery replacement, cost half, half price, concerning, price vehicle, vehicle concerning",1.0
EV1129,EV Scooter,Ampere Magnus,3,"Smart key and app based lock features work flawlessly, very convenient.",22,"Topic 22: app based, based, based lock, features work, flawlessly, flawlessly convenient",1.0
EV1130,EV Scooter,Ather 450X,5,Insurance premium for EV is surprisingly high compared to petrol vehicles.,16,"Topic 16: tier, surprisingly, surprisingly high, compared petrol, insurance premium, insurance",1.0
EV1131,EV Scooter,Ampere Magnus,5,The design looks futuristic and attracts a lot of attention on the road. Customer support over phone is helpful and resolves issues quickly.,9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",1.0
EV1132,EV Car,BYD Atto 3,4,Zero tailpipe emissions is the main reason I chose an electric vehicle. The motor is powerful and pickup is much better than petrol variants.,19,"Topic 19: chose, chose electric, emissions, emissions main, reason, reason chose",1.0
EV1133,EV Scooter,Hero Vida V1,4,"Had a great experience with the service team, they explained everything clearly.",8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",1.0
EV1134,EV Scooter,Ola S1,4,"Waiting time for service appointment is too long, more service centers needed. Noise levels are impressively low, riding experience is very smooth and quiet.",3,"Topic 3: low, stability control, control wet, impressive, impressive inspires, wet",0.1989074318596949
EV1135,EV Car,MG ZS EV,3,"Heard about a thermal runaway incident, this has shaken my trust in EV safety.",7,"Topic 7: ev, good knowing, knowing, feels good, carbon footprint, knowing reducing",0.0017462307894026234
EV1136,EV Scooter,Ather 450X,3,Handling and stability at high speed feels very confident and safe.,2,"Topic 2: makes, high, size makes, park, easy, maneuver",1.0
EV1137,EV Scooter,Ola S1,5,The vehicle has good crash test ratings which reassured my purchase decision.,8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",1.0
EV1138,EV Car,Mahindra XUV400,4,Touchscreen infotainment system lags and is not very intuitive to use.,18,"Topic 18: infotainment, infotainment lags, touchscreen, touchscreen infotainment, lags intuitive, lags",1.0
EV1139,EV Scooter,Ampere Magnus,3,The upfront price is high but government subsidy makes it affordable. Navigation system integrated with range prediction is genuinely useful.,2,"Topic 2: makes, high, size makes, park, easy, maneuver",0.029234421308550165
