review_id,product_type,brand,rating,feedback_text,nmf_topic,nmf_topic_label,nmf_topic_confidence
EV1018,EV Scooter,Ampere Magnus,4,"Had a great experience with the service team, they explained everything clearly.",8,"Topic 8: service, service center, center, appointment long, center needed",0.10310956465082646
EV1019,EV Car,MG ZS EV,4,Battery range degrades faster than expected after just one year of use. Acceleration is smooth and instant torque makes overtaking effortless.,7,"Topic 7: riding, low, smooth, level, impressively",0.05759728391377795
EV1020,EV Car,Hyundai Kona,5,"Running cost is much lower than petrol, saving a lot on fuel every month.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.0516280875000597
EV1021,EV Car,Tesla Model 3,5,Battery health dropped to 85% within 18 months of daily use.,4,"Topic 4: use, daily use, daily, dropped, within month",0.39372037011018973
EV1022,EV Scooter,Ampere Magnus,4,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat. LED lighting and digital dashboard give it a premium, modern look. Price after subsidy is still higher than a comparable petrol scooter.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.2777462000273971
EV1023,EV Scooter,Bajaj Chetak,4,"Over the air software updates are a great feature, keeps improving over time. Public chargers are often broken or occupied, need more charging stations urgently. Resale value of electric vehicles is still uncertain, worried about depreciation.",6,"Topic 6: app, keep, update, software update, need",0.17554395804270015
EV1024,EV Car,BYD Atto 3,3,"Range drops badly in winter, I lost almost 30% range in cold weather.",7,"Topic 7: riding, low, smooth, level, impressively",0.06257870840187371
EV1025,EV Car,MG ZS EV,3,Fast charging network needs serious expansion on highways.,6,"Topic 6: app, keep, update, software update, need",0.07512874314890193
EV1026,EV Scooter,Hero Vida V1,3,"Zero tailpipe emissions is the main reason I chose an electric vehicle. Smart key and app based lock features work flawlessly, very convenient.",6,"Topic 6: app, keep, update, software update, need",0.1550886631821719
EV1027,EV Scooter,Bajaj Chetak,4,Loved the color options and the overall styling of the vehicle.,1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.016621025870109416
EV1028,EV Scooter,Bajaj Chetak,5,For daily commute the range is fine but long trips are stressful because of low range.,7,"Topic 7: riding, low, smooth, level, impressively",0.09687328225076879
EV1029,EV Scooter,Ola S1,4,"Read reports about battery fires, safety is my biggest concern before buying. Bluetooth connectivity drops frequently while riding, very frustrating.",7,"Topic 7: riding, low, smooth, level, impressively",0.06362841432431442
EV1030,EV Car,Hyundai Kona,4,"The companion app keeps crashing, needs urgent software updates. Advanced safety features like ABS and traction control give peace of mind.",3,"Topic 3: ab, ab traction, control give, traction, traction control",0.2848601761064199
EV1031,EV Car,Tata Nexon EV,3,"Bluetooth connectivity drops frequently while riding, very frustrating.",7,"Topic 7: riding, low, smooth, level, impressively",0.10316261143529813
EV1032,EV Car,Mahindra XUV400,3,"Range anxiety is real, I plan every trip around charging stops now. LED lighting and digital dashboard give it a premium, modern look.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.11846054128046536
EV1033,EV Scooter,TVS iQube,5,Battery health dropped to 85% within 18 months of daily use.,4,"Topic 4: use, daily use, daily, dropped, within month",0.39372037011018973
EV1034,EV Scooter,Ather 450X,5,Acceleration is smooth and instant torque makes overtaking effortless.,7,"Topic 7: riding, low, smooth, level, impressively",0.07071550902865777
EV1035,EV Car,BYD Atto 3,3,"Battery performance is stable even after two years of heavy usage. Range drops badly in winter, I lost almost 30% range in cold weather.",7,"Topic 7: riding, low, smooth, level, impressively",0.050595456439480394
EV1036,EV Car,Tata Nexon EV,3,"Finding a working charging station in my city is still very difficult. Running cost is much lower than petrol, saving a lot on fuel every month.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.0531750317149438
EV1037,EV Scooter,Hero Vida V1,4,"Braking system feels sharp and responsive, regenerative braking works well. Insurance premium for EV is surprisingly high compared to petrol vehicles.",2,"Topic 2: braking, system, work well, work, well",0.28849749680995007
EV1038,EV Car,Tesla Model 3,5,"Charging infrastructure in tier 2 and tier 3 cities is almost non-existent. Range drops badly in winter, I lost almost 30% range in cold weather.",7,"Topic 7: riding, low, smooth, level, impressively",0.04579554108463655
EV1039,EV Car,BYD Atto 3,4,The battery warranty of 100 years gives me confidence in long term reliability.,8,"Topic 8: service, service center, center, appointment long, center needed",0.04865305209709307
EV1040,EV Car,Hyundai Kona,4,Stability control on wet roads is impressive and inspires confidence.,7,"Topic 7: riding, low, smooth, level, impressively",0.25999823105925624
EV1041,EV Scooter,Ampere Magnus,4,Home charging setup was expensive and took weeks to install.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.034397188509763525
EV1042,EV Scooter,Ola S1,3,"After sales support has been excellent, quick response and doorstep service.",8,"Topic 8: service, service center, center, appointment long, center needed",0.112987380464634
EV1043,EV Car,Tesla Model 3,5,Emergency braking and collision alert systems work really well in traffic.,2,"Topic 2: braking, system, work well, work, well",0.31909778238262776
EV1044,EV Scooter,Ola S1,3,"I'm always worried about running out of charge before reaching my destination. Concerned about environmental impact of battery disposal and recycling. Suspension is too stiff, ride quality is uncomfortable on bad roads.",5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.22986570787038763
EV1045,EV Scooter,Ampere Magnus,3,"Home charging setup was expensive and took weeks to install. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.33472116576159283
EV1046,EV Car,Hyundai Kona,4,"Range anxiety is real, I plan every trip around charging stops now.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.026957354754958095
EV1047,EV Scooter,Ola S1,4,"Love the app that shows nearby charging stations, very convenient feature.",6,"Topic 6: app, keep, update, software update, need",0.13873149475387614
EV1048,EV Scooter,Ampere Magnus,5,"Battery health dropped to 85% within 18 months of daily use. Build materials feel sturdy but the design is a bit too plain compared to rivals. AC usage kills the range, on hot days I barely get half the claimed distance.",4,"Topic 4: use, daily use, daily, dropped, within month",0.1797827139334176
EV1049,EV Scooter,Hero Vida V1,5,"Finding a working charging station in my city is still very difficult. LED lighting and digital dashboard give it a premium, modern look.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.1262515481642088
EV1050,EV Scooter,Ather 450X,5,"There are very few authorized service centers, had to travel 80 km for repair. Price after subsidy is still higher than a comparable petrol scooter.",8,"Topic 8: service, service center, center, appointment long, center needed",0.17512621811631146
EV1051,EV Scooter,TVS iQube,4,"Noise levels are impressively low, riding experience is very smooth and quiet. Stability control on wet roads is impressive and inspires confidence.",7,"Topic 7: riding, low, smooth, level, impressively",0.4317348440157835
EV1052,EV Scooter,Ola S1,4,Concerned about environmental impact of battery disposal and recycling.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.4358654034600713
EV1053,EV Car,Tata Nexon EV,4,Compact size makes it easy to park and maneuver in city traffic.,0,"Topic 0: cost, replacement cost, replacement, price, battery",0.030857381256915433
EV1054,EV Car,Mahindra XUV400,3,"Compact size makes it easy to park and maneuver in city traffic. Claimed range of 250 km is misleading, actual range is way less in city traffic.",2,"Topic 2: braking, system, work well, work, well",0.03118155921208746
EV1055,EV Scooter,Ola S1,4,"Charging takes too long, almost 6 hours for a full charge at home.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.04253603981861929
EV1056,EV Scooter,Hero Vida V1,4,Customer support over phone is helpful and resolves issues quickly.,7,"Topic 7: riding, low, smooth, level, impressively",0.029696184479411258
EV1057,EV Car,MG ZS EV,4,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.4284350621768463
EV1058,EV Scooter,Bajaj Chetak,3,Insurance premium for EV is surprisingly high compared to petrol vehicles.,7,"Topic 7: riding, low, smooth, level, impressively",0.02615054439024567
EV1059,EV Scooter,Bajaj Chetak,5,"Stability control on wet roads is impressive and inspires confidence. The companion app keeps crashing, needs urgent software updates. The battery warranty of 20 years gives me confidence in long term reliability.",6,"Topic 6: app, keep, update, software update, need",0.23665901180422366
EV1060,EV Scooter,Ola S1,4,The upfront price is high but government subsidy makes it affordable. Battery health dropped to 85% within 18 months of daily use. Battery range degrades faster than expected after just one year of use.,4,"Topic 4: use, daily use, daily, dropped, within month",0.24456312023731974
EV1061,EV Car,Mahindra XUV400,3,"Storage space under the seat is very limited, not practical for daily use.",4,"Topic 4: use, daily use, daily, dropped, within month",0.1489749552724736
EV1062,EV Scooter,Ather 450X,4,"Interior quality feels cheap for the price point, needs improvement.",6,"Topic 6: app, keep, update, software update, need",0.05136137910714518
EV1063,EV Car,Tesla Model 3,4,Charging infrastructure in tier 2 and tier 3 cities is almost non-existent.,0,"Topic 0: cost, replacement cost, replacement, price, battery",0.022957621508621948
EV1064,EV Car,Mahindra XUV400,4,"LED lighting and digital dashboard give it a premium, modern look.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.1459803170732589
EV1065,EV Scooter,Ather 450X,3,EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,8,"Topic 8: service, service center, center, appointment long, center needed",0.01521381996855034
EV1066,EV Scooter,Hero Vida V1,4,"Charging takes too long, almost 6 hours for a full charge at home.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.04253603981861929
EV1067,EV Car,Hyundai Kona,4,Battery health dropped to 85% within 18 months of daily use.,4,"Topic 4: use, daily use, daily, dropped, within month",0.39372037011018973
EV1068,EV Car,Mahindra XUV400,4,"Loved the color options and the overall styling of the vehicle. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.34627975800350586
EV1069,EV Scooter,Bajaj Chetak,5,"LED lighting and digital dashboard give it a premium, modern look. For daily commute the range is fine but long trips are stressful because of low range.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.09791891515307956
EV1070,EV Scooter,Ola S1,5,Compact size makes it easy to park and maneuver in city traffic.,0,"Topic 0: cost, replacement cost, replacement, price, battery",0.030857381256915433
EV1071,EV Car,Mahindra XUV400,5,"The companion app keeps crashing, needs urgent software updates.",6,"Topic 6: app, keep, update, software update, need",0.3913111625379394
EV1072,EV Scooter,TVS iQube,4,Battery performance is stable even after two years of heavy usage.,8,"Topic 8: service, service center, center, appointment long, center needed",0.052289309383214015
EV1073,EV Car,Mahindra XUV400,4,"Battery replacement cost is almost half the price of the vehicle, very concerning.",0,"Topic 0: cost, replacement cost, replacement, price, battery",0.10929763693684456
EV1074,EV Car,Tata Nexon EV,5,"For the price, I expected better build quality and more features.",8,"Topic 8: service, service center, center, appointment long, center needed",0.03904638720375586
EV1075,EV Scooter,TVS iQube,5,"Had a great experience with the service team, they explained everything clearly.",8,"Topic 8: service, service center, center, appointment long, center needed",0.10310956465082646
EV1076,EV Car,Mahindra XUV400,5,The motor is powerful and pickup is much better than petrol variants.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.012919841213890379
EV1077,EV Car,Tesla Model 3,3,The upfront price is high but government subsidy makes it affordable.,0,"Topic 0: cost, replacement cost, replacement, price, battery",0.05427867857583784
EV1078,EV Car,MG ZS EV,4,Contributing to a cleaner city is a big motivation behind going electric. EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,0,"Topic 0: cost, replacement cost, replacement, price, battery",0.023597629100244353
EV1079,EV Scooter,Ather 450X,4,Finding a working charging station in my city is still very difficult.,6,"Topic 6: app, keep, update, software update, need",0.06122660181627624
EV1080,EV Scooter,Ampere Magnus,4,Fast charging network needs serious expansion on highways.,6,"Topic 6: app, keep, update, software update, need",0.07512874314890193
EV1081,EV Car,Tesla Model 3,5,Concerned about environmental impact of battery disposal and recycling. For daily commute the range is fine but long trips are stressful because of low range.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.26046681467515
EV1082,EV Scooter,Ola S1,4,"Bluetooth connectivity drops frequently while riding, very frustrating. Love the app that shows nearby charging stations, very convenient feature.",6,"Topic 6: app, keep, update, software update, need",0.10084703407817665
EV1083,EV Scooter,Hero Vida V1,5,Stability control on wet roads is impressive and inspires confidence.,7,"Topic 7: riding, low, smooth, level, impressively",0.25999823105925624
EV1084,EV Scooter,Ampere Magnus,3,Concerned about environmental impact of battery disposal and recycling.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.4358654034600713
EV1085,EV Scooter,Ather 450X,5,"For the price, I expected better build quality and more features.",8,"Topic 8: service, service center, center, appointment long, center needed",0.03904638720375586
EV1086,EV Scooter,TVS iQube,5,Battery health dropped to 85% within 18 months of daily use. Touchscreen infotainment system lags and is not very intuitive to use.,4,"Topic 4: use, daily use, daily, dropped, within month",0.30930448472448696
EV1087,EV Scooter,TVS iQube,5,Advanced safety features like ABS and traction control give peace of mind.,3,"Topic 3: ab, ab traction, control give, traction, traction control",0.4034444933979644
EV1088,EV Car,Tata Nexon EV,4,"Read reports about battery fires, safety is my biggest concern before buying.",4,"Topic 4: use, daily use, daily, dropped, within month",0.06224454269100942
EV1089,EV Scooter,Hero Vida V1,5,"Charging takes too long, almost 6 hours for a full charge at home.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.04253603981861929
EV1090,EV Car,Mahindra XUV400,4,Navigation system integrated with range prediction is genuinely useful.,7,"Topic 7: riding, low, smooth, level, impressively",0.07776545472498549
EV1091,EV Scooter,Bajaj Chetak,3,"After sales support has been excellent, quick response and doorstep service. Zero tailpipe emissions is the main reason I chose an electric vehicle.",7,"Topic 7: riding, low, smooth, level, impressively",0.11974235940029358
EV1092,EV Car,Tesla Model 3,5,"Read reports about battery fires, safety is my biggest concern before buying. Battery health dropped to 85% within 18 months of daily use.",4,"Topic 4: use, daily use, daily, dropped, within month",0.2922337853824494
EV1093,EV Scooter,TVS iQube,4,"There are very few authorized service centers, had to travel 250 km for repair.",8,"Topic 8: service, service center, center, appointment long, center needed",0.27134328447285216
EV1094,EV Car,Hyundai Kona,4,Service center staff are not well trained to handle EV specific issues.,8,"Topic 8: service, service center, center, appointment long, center needed",0.2956903099765675
EV1095,EV Car,BYD Atto 3,5,"Charging takes too long, almost 6 hours for a full charge at home. Battery range degrades faster than expected after just one year of use.",4,"Topic 4: use, daily use, daily, dropped, within month",0.04539169313171215
EV1096,EV Scooter,Bajaj Chetak,3,"Service center staff are not well trained to handle EV specific issues. Smart key and app based lock features work flawlessly, very convenient.",8,"Topic 8: service, service center, center, appointment long, center needed",0.198157874263426
EV1097,EV Car,Mahindra XUV400,4,Battery health dropped to 85% within 18 months of daily use.,4,"Topic 4: use, daily use, daily, dropped, within month",0.39372037011018973
EV1098,EV Scooter,Ola S1,5,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.4284350621768463
EV1099,EV Car,BYD Atto 3,4,"After sales support has been excellent, quick response and doorstep service. Compact size makes it easy to park and maneuver in city traffic.",8,"Topic 8: service, service center, center, appointment long, center needed",0.07380565992956602
EV1100,EV Car,BYD Atto 3,5,"There are very few authorized service centers, had to travel 150 km for repair. Home charging setup was expensive and took weeks to install.",8,"Topic 8: service, service center, center, appointment long, center needed",0.19445607528347275
EV1101,EV Car,MG ZS EV,4,Contributing to a cleaner city is a big motivation behind going electric.,0,"Topic 0: cost, replacement cost, replacement, price, battery",0.02549945550685614
EV1102,EV Scooter,Ola S1,3,"The companion app keeps crashing, needs urgent software updates.",6,"Topic 6: app, keep, update, software update, need",0.3913111625379394
EV1103,EV Car,Hyundai Kona,5,"Read reports about battery fires, safety is my biggest concern before buying.",4,"Topic 4: use, daily use, daily, dropped, within month",0.06224454269100942
EV1104,EV Car,Hyundai Kona,4,"Battery performance is stable even after two years of heavy usage. Waiting time for service appointment is too long, more service centers needed.",8,"Topic 8: service, service center, center, appointment long, center needed",0.31405356768815434
EV1105,EV Scooter,Bajaj Chetak,4,"Storage space under the seat is very limited, not practical for daily use. Service center staff are not well trained to handle EV specific issues. Navigation system integrated with range prediction is genuinely useful.",8,"Topic 8: service, service center, center, appointment long, center needed",0.16946185515503606
EV1106,EV Car,Mahindra XUV400,3,"The real world range is much lower than advertised, I only get 8 km on a full charge. Charging takes too long, almost 6 hours for a full charge at home. The upfront price is high but government subsidy makes it affordable.",0,"Topic 0: cost, replacement cost, replacement, price, battery",0.05015833580236402
EV1107,EV Car,Mahindra XUV400,5,Contributing to a cleaner city is a big motivation behind going electric.,0,"Topic 0: cost, replacement cost, replacement, price, battery",0.02549945550685614
EV1108,EV Scooter,Ola S1,3,Handling and stability at high speed feels very confident and safe. Zero tailpipe emissions is the main reason I chose an electric vehicle.,7,"Topic 7: riding, low, smooth, level, impressively",0.13727246921748798
EV1109,EV Scooter,Bajaj Chetak,4,"Emergency braking and collision alert systems work really well in traffic. Range drops badly in winter, I lost almost 30% range in cold weather.",2,"Topic 2: braking, system, work well, work, well",0.22099594068998438
EV1110,EV Scooter,TVS iQube,4,"Emergency braking and collision alert systems work really well in traffic. The real world range is much lower than advertised, I only get 150 km on a full charge. Navigation system integrated with range prediction is genuinely useful.",2,"Topic 2: braking, system, work well, work, well",0.2252904125921617
EV1111,EV Scooter,Ampere Magnus,5,EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,8,"Topic 8: service, service center, center, appointment long, center needed",0.01521381996855034
EV1112,EV Car,Hyundai Kona,4,I'm always worried about running out of charge before reaching my destination. EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.027442456080404947
EV1113,EV Car,BYD Atto 3,4,"Public chargers are often broken or occupied, need more charging stations urgently. Software glitches caused the dashboard to freeze twice in a month.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.296627077905357
EV1114,EV Car,Mahindra XUV400,4,"Storage space under the seat is very limited, not practical for daily use. Over the air software updates are a great feature, keeps improving over time.",6,"Topic 6: app, keep, update, software update, need",0.14000008426283228
EV1115,EV Scooter,Ampere Magnus,5,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.4284350621768463
EV1116,EV Car,Tata Nexon EV,4,"Advanced safety features like ABS and traction control give peace of mind. After sales support has been excellent, quick response and doorstep service.",3,"Topic 3: ab, ab traction, control give, traction, traction control",0.29617506321049153
EV1117,EV Scooter,Ampere Magnus,4,"The vehicle has good crash test ratings which reassured my purchase decision. Navigation system integrated with range prediction is genuinely useful. Noise levels are impressively low, riding experience is very smooth and quiet.",7,"Topic 7: riding, low, smooth, level, impressively",0.27345400240184703
EV1118,EV Scooter,TVS iQube,5,Insurance premium for EV is surprisingly high compared to petrol vehicles.,7,"Topic 7: riding, low, smooth, level, impressively",0.02615054439024567
EV1119,EV Car,Hyundai Kona,4,"Worried about battery degradation and replacement cost after warranty ends. Over the air software updates are a great feature, keeps improving over time.",6,"Topic 6: app, keep, update, software update, need",0.13611698436351993
EV1120,EV Scooter,Ola S1,4,Software glitches caused the dashboard to freeze twice in a month. I'm always worried about running out of charge before reaching my destination.,9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.35262266358256167
EV1121,EV Scooter,Hero Vida V1,4,"After sales support has been excellent, quick response and doorstep service.",8,"Topic 8: service, service center, center, appointment long, center needed",0.112987380464634
EV1122,EV Scooter,Hero Vida V1,4,Build quality feels premium and the ride is extremely comfortable.,8,"Topic 8: service, service center, center, appointment long, center needed",0.03904935174823101
EV1123,EV Car,BYD Atto 3,3,"Running cost is much lower than petrol, saving a lot on fuel every month.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.0516280875000597
EV1124,EV Scooter,Ola S1,3,Service center staff are not well trained to handle EV specific issues.,8,"Topic 8: service, service center, center, appointment long, center needed",0.2956903099765675
EV1125,EV Car,Hyundai Kona,4,"Suspension is too stiff, ride quality is uncomfortable on bad roads. Interior quality feels cheap for the price point, needs improvement.",6,"Topic 6: app, keep, update, software update, need",0.039660792812107916
EV1126,EV Scooter,Ampere Magnus,3,"Highway charging stops are rare, long distance travel is a nightmare.",8,"Topic 8: service, service center, center, appointment long, center needed",0.06565737663785687
EV1127,EV Car,Mahindra XUV400,3,"Spare parts availability is a major issue, waited a month for a replacement part.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.022143653435404812
EV1128,EV Scooter,Hero Vida V1,4,"Advanced safety features like ABS and traction control give peace of mind. Battery replacement cost is almost half the price of the vehicle, very concerning.",3,"Topic 3: ab, ab traction, control give, traction, traction control",0.3107122454627484
EV1129,EV Scooter,Ampere Magnus,3,"Smart key and app based lock features work flawlessly, very convenient.",6,"Topic 6: app, keep, update, software update, need",0.20397177287681528
EV1130,EV Scooter,Ather 450X,5,Insurance premium for EV is surprisingly high compared to petrol vehicles.,7,"Topic 7: riding, low, smooth, level, impressively",0.02615054439024567
EV1131,EV Scooter,Ampere Magnus,5,The design looks futuristic and attracts a lot of attention on the road. Customer support over phone is helpful and resolves issues quickly.,7,"Topic 7: riding, low, smooth, level, impressively",0.04764831965123722
EV1132,EV Car,BYD Atto 3,4,Zero tailpipe emissions is the main reason I chose an electric vehicle. The motor is powerful and pickup is much better than petrol variants.,7,"Topic 7: riding, low, smooth, level, impressively",0.10787277957619223
EV1133,EV Scooter,Hero Vida V1,4,"Had a great experience with the service team, they explained everything clearly.",8,"Topic 8: service, service center, center, appointment long, center needed",0.10310956465082646
EV1134,EV Scooter,Ola S1,4,"Waiting time for service appointment is too long, more service centers needed. Noise levels are impressively low, riding experience is very smooth and quiet.",8,"Topic 8: service, service center, center, appointment long, center needed",0.2626150295229896
EV1135,EV Car,MG ZS EV,3,"Heard about a thermal runaway incident, this has shaken my trust in EV safety.",3,"Topic 3: ab, ab traction, control give, traction, traction control",0.03209915536470071
EV1136,EV Scooter,Ather 450X,3,Handling and stability at high speed feels very confident and safe.,7,"Topic 7: riding, low, smooth, level, impressively",0.042842528672923944
EV1137,EV Scooter,Ola S1,5,The vehicle has good crash test ratings which reassured my purchase decision.,9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.10256815474960541
EV1138,EV Car,Mahindra XUV400,4,Touchscreen infotainment system lags and is not very intuitive to use.,2,"Topic 2: braking, system, work well, work, well",0.07261313254748547
EV1139,EV Scooter,Ampere Magnus,3,The upfront price is high but government subsidy makes it affordable. Navigation system integrated with range prediction is genuinely useful.,7,"Topic 7: riding, low, smooth, level, impressively",0.05199653010322802
EV1140,EV Scooter,Ampere Magnus,4,"Service center staff are not well trained to handle EV specific issues. Interior quality feels cheap for the price point, needs improvement.",8,"Topic 8: service, service center, center, appointment long, center needed",0.2121330522994474
EV1141,EV Car,Tata Nexon EV,5,Home charging setup was expensive and took weeks to install. Insurance premium for EV is surprisingly high compared to petrol vehicles.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.031937108938628535
EV1142,EV Scooter,TVS iQube,4,Build materials feel sturdy but the design is a bit too plain compared to rivals.,8,"Topic 8: service, service center, center, appointment long, center needed",0.12733235366077575
EV1143,EV Car,Mahindra XUV400,3,"Build quality feels premium and the ride is extremely comfortable. For the price, I expected better build quality and more features.",8,"Topic 8: service, service center, center, appointment long, center needed",0.05036983134494512
EV1144,EV Car,Hyundai Kona,4,For daily commute the range is fine but long trips are stressful because of low range.,7,"Topic 7: riding, low, smooth, level, impressively",0.09687328225076879
EV1145,EV Scooter,Ather 450X,5,The upfront price is high but government subsidy makes it affordable.,0,"Topic 0: cost, replacement cost, replacement, price, battery",0.05427867857583784
EV1146,EV Car,Hyundai Kona,3,Fast charging network needs serious expansion on highways.,6,"Topic 6: app, keep, update, software update, need",0.07512874314890193
EV1147,EV Car,MG ZS EV,4,"Had a great experience with the service team, they explained everything clearly.",8,"Topic 8: service, service center, center, appointment long, center needed",0.10310956465082646
EV1148,EV Car,MG ZS EV,5,I'm always worried about running out of charge before reaching my destination.,9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.046160397272723315
EV1149,EV Car,Hyundai Kona,5,I'm always worried about running out of charge before reaching my destination.,9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.046160397272723315
EV1150,EV Scooter,Ola S1,4,"Public chargers are often broken or occupied, need more charging stations urgently.",6,"Topic 6: app, keep, update, software update, need",0.09851726439195248
