Topic,Count,Name,Representation,Representative_Docs
10,57,10_battery replacement_cost half_half price_concerning,"['battery replacement', 'cost half', 'half price', 'concerning', 'price vehicle', 'vehicle concerning', 'half', 'replacement cost', 'advanced safety', 'features like']","['Battery replacement cost is almost half the price of the vehicle, very concerning.', 'There are very few authorized service centers, had to travel 250 km for repair. Battery replacement cost is almost half the price of the vehicle, very concerning.', 'Battery replacement cost is almost half the price of the vehicle, very concerning. There are very few authorized service centers, had to travel 8 km for repair.']"
11,55,11_home_bluetooth_riding frustrating_connectivity,"['home', 'bluetooth', 'riding frustrating', 'connectivity', 'bluetooth connectivity', 'drops frequently', 'frustrating', 'frequently riding', 'connectivity drops', 'frequently']","['Bluetooth connectivity drops frequently while riding, very frustrating.', 'Bluetooth connectivity drops frequently while riding, very frustrating.', 'Home charging setup was expensive and took weeks to install. Spare parts availability is a major issue, waited a month for a replacement part. Bluetooth connectivity drops frequently while riding, very frustrating.']"
12,44,12_battery disposal_environmental_disposal_disposal recycling,"['battery disposal', 'environmental', 'disposal', 'disposal recycling', 'concerned', 'concerned environmental', 'environmental impact', 'recycling', 'impact', 'impact battery']","['Concerned about environmental impact of battery disposal and recycling.', 'Concerned about environmental impact of battery disposal and recycling.', 'Concerned about environmental impact of battery disposal and recycling.']"
13,37,13_18_18 months_85_85 18,"['18', '18 months', '85', '85 18', 'health dropped', 'months daily', 'months', 'battery health', 'dropped', 'dropped 85']","['Battery health dropped to 85% within 18 months of daily use.', 'Battery health dropped to 85% within 18 months of daily use.', 'Battery health dropped to 85% within 18 months of daily use.']"
14,37,14_service_bit plain_design bit_compared rivals,"['service', 'bit plain', 'design bit', 'compared rivals', 'bit', 'materials feel', 'rivals', 'plain compared', 'plain', 'feel']","['Build materials feel sturdy but the design is a bit too plain compared to rivals.', 'Waiting time for service appointment is too long, more service centers needed. Build materials feel sturdy but the design is a bit too plain compared to rivals. Love the app that shows nearby charging stations, very convenient feature.', 'Build materials feel sturdy but the design is a bit too plain compared to rivals. Waiting time for service appointment is too long, more service centers needed.']"
15,60,15_highway_discount_ev subsidy_delayed discount,"['highway', 'discount', 'ev subsidy', 'delayed discount', 'subsidy scheme', 'state got', 'delayed', 'state', 'got', 'got delayed']","['EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.', 'EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.', 'EV subsidy scheme in my state got delayed and the discount amount reduced suddenly. Highway charging stops are rare, long distance travel is a nightmare.']"
16,32,16_tier_surprisingly_surprisingly high_compared petrol,"['tier', 'surprisingly', 'surprisingly high', 'compared petrol', 'insurance premium', 'insurance', 'high compared', 'ev surprisingly', 'premium ev', 'petrol vehicles']","['Insurance premium for EV is surprisingly high compared to petrol vehicles.', 'Insurance premium for EV is surprisingly high compared to petrol vehicles.', 'Charging infrastructure in tier 2 and tier 3 cities is almost non-existent. Insurance premium for EV is surprisingly high compared to petrol vehicles.']"
17,31,17_app keeps_crashing_crashing needs_companion app,"['app keeps', 'crashing', 'crashing needs', 'companion app', 'companion', 'urgent software', 'urgent', 'needs urgent', 'keeps crashing', 'software updates']","['The companion app keeps crashing, needs urgent software updates.', 'The companion app keeps crashing, needs urgent software updates.', 'The companion app keeps crashing, needs urgent software updates.']"
18,38,18_infotainment_infotainment lags_touchscreen_touchscreen infotainment,"['infotainment', 'infotainment lags', 'touchscreen', 'touchscreen infotainment', 'lags intuitive', 'lags', 'intuitive use', 'intuitive', 'quality feels', 'quality']","['Touchscreen infotainment system lags and is not very intuitive to use.', 'Interior quality feels cheap for the price point, needs improvement. Advanced safety features like ABS and traction control give peace of mind. Touchscreen infotainment system lags and is not very intuitive to use.', 'Interior quality feels cheap for the price point, needs improvement. Touchscreen infotainment system lags and is not very intuitive to use.']"
19,30,19_chose_chose electric_emissions_emissions main,"['chose', 'chose electric', 'emissions', 'emissions main', 'reason', 'reason chose', 'main reason', 'main', 'zero tailpipe', 'zero']","['Zero tailpipe emissions is the main reason I chose an electric vehicle.', 'Zero tailpipe emissions is the main reason I chose an electric vehicle.', 'Zero tailpipe emissions is the main reason I chose an electric vehicle.']"
20,41,20_dashboard_caused_freeze twice_glitches,"['dashboard', 'caused', 'freeze twice', 'glitches', 'freeze', 'glitches caused', 'dashboard freeze', 'caused dashboard', 'twice month', 'twice']","['Software glitches caused the dashboard to freeze twice in a month.', 'Software glitches caused the dashboard to freeze twice in a month.', 'Software glitches caused the dashboard to freeze twice in a month.']"
21,33,21_cost warranty_battery degradation_warranty ends_ends,"['cost warranty', 'battery degradation', 'warranty ends', 'ends', 'degradation replacement', 'worried battery', 'degradation', 'warranty', 'replacement cost', 'worried']","['Worried about battery degradation and replacement cost after warranty ends.', 'After sales support has been excellent, quick response and doorstep service. Worried about battery degradation and replacement cost after warranty ends.', 'Worried about battery degradation and replacement cost after warranty ends. After sales support has been excellent, quick response and doorstep service.']"
22,28,22_app based_based_based lock_features work,"['app based', 'based', 'based lock', 'features work', 'flawlessly', 'flawlessly convenient', 'lock', 'smart key', 'work flawlessly', 'smart']","['Smart key and app based lock features work flawlessly, very convenient.', 'Smart key and app based lock features work flawlessly, very convenient.', 'Smart key and app based lock features work flawlessly, very convenient.']"
23,29,23_30 range_badly_badly winter_cold weather,"['30 range', 'badly', 'badly winter', 'cold weather', 'drops badly', 'cold', 'winter lost', 'winter', 'range cold', 'lost']","['Range drops badly in winter, I lost almost 30% range in cold weather.', 'Range drops badly in winter, I lost almost 30% range in cold weather.', 'Acceleration is smooth and instant torque makes overtaking effortless. Range drops badly in winter, I lost almost 30% range in cold weather. Had a great experience with the service team, they explained everything clearly.']"
24,34,24_braking_braking feels_braking works_responsive,"['braking', 'braking feels', 'braking works', 'responsive', 'regenerative braking', 'responsive regenerative', 'sharp', 'sharp responsive', 'works', 'feels sharp']","['Braking system feels sharp and responsive, regenerative braking works well.', 'Braking system feels sharp and responsive, regenerative braking works well.', 'Braking system feels sharp and responsive, regenerative braking works well.']"
