review_id,product_type,brand,rating,feedback_text,lda_topic,lda_topic_label,lda_topic_confidence
EV1020,EV Car,Hyundai Kona,5,"Running cost is much lower than petrol, saving a lot on fuel every month.",4,"Topic 4: software, month, year, battery, keep",0.9499988743504476
EV1021,EV Car,Tesla Model 3,5,Battery health dropped to 85% within 18 months of daily use.,6,"Topic 6: charging, battery, almost, tier, use",0.9357124919676222
EV1022,EV Scooter,Ampere Magnus,4,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat. LED lighting and digital dashboard give it a premium, modern look. Price after subsidy is still higher than a comparable petrol scooter.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.44427096643230946
EV1023,EV Scooter,Bajaj Chetak,4,"Over the air software updates are a great feature, keeps improving over time. Public chargers are often broken or occupied, need more charging stations urgently. Resale value of electric vehicles is still uncertain, worried about depreciation.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.40403594183893404
EV1024,EV Car,BYD Atto 3,3,"Range drops badly in winter, I lost almost 30% range in cold weather.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.949999084075917
EV1025,EV Car,MG ZS EV,3,Fast charging network needs serious expansion on highways.,3,"Topic 3: safety, use, highway, part, feature",0.935712803955503
EV1026,EV Scooter,Hero Vida V1,3,"Zero tailpipe emissions is the main reason I chose an electric vehicle. Smart key and app based lock features work flawlessly, very convenient.",9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.5541547523139808
EV1027,EV Scooter,Bajaj Chetak,4,Loved the color options and the overall styling of the vehicle.,6,"Topic 6: charging, battery, almost, tier, use",0.9099999999467664
EV1028,EV Scooter,Bajaj Chetak,5,For daily commute the range is fine but long trips are stressful because of low range.,0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9499975083227754
EV1029,EV Scooter,Ola S1,4,"Read reports about battery fires, safety is my biggest concern before buying. Bluetooth connectivity drops frequently while riding, very frustrating.",5,"Topic 5: battery, center, service center, service, safety",0.5592595395621006
EV1030,EV Car,Hyundai Kona,4,"The companion app keeps crashing, needs urgent software updates. Advanced safety features like ABS and traction control give peace of mind.",3,"Topic 3: safety, use, highway, part, feature",0.5247299405160625
EV1031,EV Car,Tata Nexon EV,3,"Bluetooth connectivity drops frequently while riding, very frustrating.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.9249997227808245
EV1032,EV Car,Mahindra XUV400,3,"Range anxiety is real, I plan every trip around charging stops now. LED lighting and digital dashboard give it a premium, modern look.",2,"Topic 2: feel, quality, range, support, quality feel",0.5015658849674595
EV1033,EV Scooter,TVS iQube,5,Battery health dropped to 85% within 18 months of daily use.,6,"Topic 6: charging, battery, almost, tier, use",0.9357124919676222
EV1034,EV Scooter,Ather 450X,5,Acceleration is smooth and instant torque makes overtaking effortless.,4,"Topic 4: software, month, year, battery, keep",0.9357133527421988
EV1035,EV Car,BYD Atto 3,3,"Battery performance is stable even after two years of heavy usage. Range drops badly in winter, I lost almost 30% range in cold weather.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.5487431972068513
EV1036,EV Car,Tata Nexon EV,3,"Finding a working charging station in my city is still very difficult. Running cost is much lower than petrol, saving a lot on fuel every month.",4,"Topic 4: software, month, year, battery, keep",0.5477086208216035
EV1037,EV Scooter,Hero Vida V1,4,"Braking system feels sharp and responsive, regenerative braking works well. Insurance premium for EV is surprisingly high compared to petrol vehicles.",7,"Topic 7: braking, work, system, work well, well",0.5859272451774503
EV1038,EV Car,Tesla Model 3,5,"Charging infrastructure in tier 2 and tier 3 cities is almost non-existent. Range drops badly in winter, I lost almost 30% range in cold weather.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.5230225328811253
EV1039,EV Car,BYD Atto 3,4,The battery warranty of 100 years gives me confidence in long term reliability.,4,"Topic 4: software, month, year, battery, keep",0.9437480073525252
EV1040,EV Car,Hyundai Kona,4,Stability control on wet roads is impressive and inspires confidence.,0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9357134461405903
EV1041,EV Scooter,Ampere Magnus,4,Home charging setup was expensive and took weeks to install.,5,"Topic 5: battery, center, service center, service, safety",0.935713411107298
EV1042,EV Scooter,Ola S1,3,"After sales support has been excellent, quick response and doorstep service.",2,"Topic 2: feel, quality, range, support, quality feel",0.9357136343261091
EV1043,EV Car,Tesla Model 3,5,Emergency braking and collision alert systems work really well in traffic.,7,"Topic 7: braking, work, system, work well, well",0.9437497312130717
EV1044,EV Scooter,Ola S1,3,"I'm always worried about running out of charge before reaching my destination. Concerned about environmental impact of battery disposal and recycling. Suspension is too stiff, ride quality is uncomfortable on bad roads.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.3514318779699374
EV1045,EV Scooter,Ampere Magnus,3,"Home charging setup was expensive and took weeks to install. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.5848447564377983
EV1046,EV Car,Hyundai Kona,4,"Range anxiety is real, I plan every trip around charging stops now.",2,"Topic 2: feel, quality, range, support, quality feel",0.9499971908249379
EV1047,EV Scooter,Ola S1,4,"Love the app that shows nearby charging stations, very convenient feature.",6,"Topic 6: charging, battery, almost, tier, use",0.943748039404446
EV1048,EV Scooter,Ampere Magnus,5,"Battery health dropped to 85% within 18 months of daily use. Build materials feel sturdy but the design is a bit too plain compared to rivals. AC usage kills the range, on hot days I barely get half the claimed distance.",6,"Topic 6: charging, battery, almost, tier, use",0.62891473332384
EV1049,EV Scooter,Hero Vida V1,5,"Finding a working charging station in my city is still very difficult. LED lighting and digital dashboard give it a premium, modern look.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.966665939665959
EV1050,EV Scooter,Ather 450X,5,"There are very few authorized service centers, had to travel 80 km for repair. Price after subsidy is still higher than a comparable petrol scooter.",9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.587122219044873
EV1051,EV Scooter,TVS iQube,4,"Noise levels are impressively low, riding experience is very smooth and quiet. Stability control on wet roads is impressive and inspires confidence.",9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.5040954950068003
EV1052,EV Scooter,Ola S1,4,Concerned about environmental impact of battery disposal and recycling.,9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.9249986153687703
EV1053,EV Car,Tata Nexon EV,4,Compact size makes it easy to park and maneuver in city traffic.,1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.9437493609883884
EV1054,EV Car,Mahindra XUV400,3,"Compact size makes it easy to park and maneuver in city traffic. Claimed range of 250 km is misleading, actual range is way less in city traffic.",1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.5520019403492714
EV1055,EV Scooter,Ola S1,4,"Charging takes too long, almost 6 hours for a full charge at home.",6,"Topic 6: charging, battery, almost, tier, use",0.9437476402111513
EV1056,EV Scooter,Hero Vida V1,4,Customer support over phone is helpful and resolves issues quickly.,2,"Topic 2: feel, quality, range, support, quality feel",0.9357138175418811
EV1057,EV Car,MG ZS EV,4,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.9549998187898763
EV1058,EV Scooter,Bajaj Chetak,3,Insurance premium for EV is surprisingly high compared to petrol vehicles.,8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.9249977907310836
EV1059,EV Scooter,Bajaj Chetak,5,"Stability control on wet roads is impressive and inspires confidence. The companion app keeps crashing, needs urgent software updates. The battery warranty of 20 years gives me confidence in long term reliability.",4,"Topic 4: software, month, year, battery, keep",0.6564133791853768
EV1060,EV Scooter,Ola S1,4,The upfront price is high but government subsidy makes it affordable. Battery health dropped to 85% within 18 months of daily use. Battery range degrades faster than expected after just one year of use.,6,"Topic 6: charging, battery, almost, tier, use",0.33048581634684693
EV1061,EV Car,Mahindra XUV400,3,"Storage space under the seat is very limited, not practical for daily use.",3,"Topic 3: safety, use, highway, part, feature",0.9357135200179632
EV1062,EV Scooter,Ather 450X,4,"Interior quality feels cheap for the price point, needs improvement.",2,"Topic 2: feel, quality, range, support, quality feel",0.9437490829139897
EV1063,EV Car,Tesla Model 3,4,Charging infrastructure in tier 2 and tier 3 cities is almost non-existent.,6,"Topic 6: charging, battery, almost, tier, use",0.9437484930362834
EV1064,EV Car,Mahindra XUV400,4,"LED lighting and digital dashboard give it a premium, modern look.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9437487547496393
EV1065,EV Scooter,Ather 450X,3,EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,4,"Topic 4: software, month, year, battery, keep",0.9499997911747503
EV1066,EV Scooter,Hero Vida V1,4,"Charging takes too long, almost 6 hours for a full charge at home.",6,"Topic 6: charging, battery, almost, tier, use",0.9437476402111513
EV1067,EV Car,Hyundai Kona,4,Battery health dropped to 85% within 18 months of daily use.,6,"Topic 6: charging, battery, almost, tier, use",0.9357124919676222
EV1068,EV Car,Mahindra XUV400,4,"Loved the color options and the overall styling of the vehicle. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.6521481277025277
EV1069,EV Scooter,Bajaj Chetak,5,"LED lighting and digital dashboard give it a premium, modern look. For daily commute the range is fine but long trips are stressful because of low range.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9727263087225654
EV1070,EV Scooter,Ola S1,5,Compact size makes it easy to park and maneuver in city traffic.,1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.9437493609883884
EV1071,EV Car,Mahindra XUV400,5,"The companion app keeps crashing, needs urgent software updates.",4,"Topic 4: software, month, year, battery, keep",0.943749216857566
EV1072,EV Scooter,TVS iQube,4,Battery performance is stable even after two years of heavy usage.,6,"Topic 6: charging, battery, almost, tier, use",0.9357131926965875
EV1073,EV Car,Mahindra XUV400,4,"Battery replacement cost is almost half the price of the vehicle, very concerning.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9357121936164879
EV1074,EV Car,Tata Nexon EV,5,"For the price, I expected better build quality and more features.",2,"Topic 2: feel, quality, range, support, quality feel",0.9249974594621185
EV1075,EV Scooter,TVS iQube,5,"Had a great experience with the service team, they explained everything clearly.",4,"Topic 4: software, month, year, battery, keep",0.9357124482698551
EV1076,EV Car,Mahindra XUV400,5,The motor is powerful and pickup is much better than petrol variants.,3,"Topic 3: safety, use, highway, part, feature",0.924998570431653
EV1077,EV Car,Tesla Model 3,3,The upfront price is high but government subsidy makes it affordable.,9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.9357130000184158
EV1078,EV Car,MG ZS EV,4,Contributing to a cleaner city is a big motivation behind going electric. EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,4,"Topic 4: software, month, year, battery, keep",0.5516130420482629
EV1079,EV Scooter,Ather 450X,4,Finding a working charging station in my city is still very difficult.,0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9249982638755785
EV1080,EV Scooter,Ampere Magnus,4,Fast charging network needs serious expansion on highways.,3,"Topic 3: safety, use, highway, part, feature",0.935712803955503
EV1081,EV Car,Tesla Model 3,5,Concerned about environmental impact of battery disposal and recycling. For daily commute the range is fine but long trips are stressful because of low range.,0,"Topic 0: cost, battery, replacement cost, replacement, city",0.5786045998393142
EV1082,EV Scooter,Ola S1,4,"Bluetooth connectivity drops frequently while riding, very frustrating. Love the app that shows nearby charging stations, very convenient feature.",6,"Topic 6: charging, battery, almost, tier, use",0.5499894510771879
EV1083,EV Scooter,Hero Vida V1,5,Stability control on wet roads is impressive and inspires confidence.,0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9357134461405903
EV1084,EV Scooter,Ampere Magnus,3,Concerned about environmental impact of battery disposal and recycling.,9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.9249986153687703
EV1085,EV Scooter,Ather 450X,5,"For the price, I expected better build quality and more features.",2,"Topic 2: feel, quality, range, support, quality feel",0.9249974594621185
EV1086,EV Scooter,TVS iQube,5,Battery health dropped to 85% within 18 months of daily use. Touchscreen infotainment system lags and is not very intuitive to use.,6,"Topic 6: charging, battery, almost, tier, use",0.5335835635000326
EV1087,EV Scooter,TVS iQube,5,Advanced safety features like ABS and traction control give peace of mind.,3,"Topic 3: safety, use, highway, part, feature",0.9499995847169762
EV1088,EV Car,Tata Nexon EV,4,"Read reports about battery fires, safety is my biggest concern before buying.",5,"Topic 5: battery, center, service center, service, safety",0.9437495112624689
EV1089,EV Scooter,Hero Vida V1,5,"Charging takes too long, almost 6 hours for a full charge at home.",6,"Topic 6: charging, battery, almost, tier, use",0.9437476402111513
EV1090,EV Car,Mahindra XUV400,4,Navigation system integrated with range prediction is genuinely useful.,1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.9357135041670673
EV1091,EV Scooter,Bajaj Chetak,3,"After sales support has been excellent, quick response and doorstep service. Zero tailpipe emissions is the main reason I chose an electric vehicle.",2,"Topic 2: feel, quality, range, support, quality feel",0.523999895314991
EV1092,EV Car,Tesla Model 3,5,"Read reports about battery fires, safety is my biggest concern before buying. Battery health dropped to 85% within 18 months of daily use.",5,"Topic 5: battery, center, service center, service, safety",0.5304977519351283
EV1093,EV Scooter,TVS iQube,4,"There are very few authorized service centers, had to travel 250 km for repair.",5,"Topic 5: battery, center, service center, service, safety",0.9099990182384726
EV1094,EV Car,Hyundai Kona,4,Service center staff are not well trained to handle EV specific issues.,5,"Topic 5: battery, center, service center, service, safety",0.9437489343674283
EV1095,EV Car,BYD Atto 3,5,"Charging takes too long, almost 6 hours for a full charge at home. Battery range degrades faster than expected after just one year of use.",6,"Topic 6: charging, battery, almost, tier, use",0.5740807193466173
EV1096,EV Scooter,Bajaj Chetak,3,"Service center staff are not well trained to handle EV specific issues. Smart key and app based lock features work flawlessly, very convenient.",9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.5511880014175282
EV1097,EV Car,Mahindra XUV400,4,Battery health dropped to 85% within 18 months of daily use.,6,"Topic 6: charging, battery, almost, tier, use",0.9357124919676222
EV1098,EV Scooter,Ola S1,5,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.9549998187898763
EV1099,EV Car,BYD Atto 3,4,"After sales support has been excellent, quick response and doorstep service. Compact size makes it easy to park and maneuver in city traffic.",1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.4934532853389375
EV1100,EV Car,BYD Atto 3,5,"There are very few authorized service centers, had to travel 150 km for repair. Home charging setup was expensive and took weeks to install.",5,"Topic 5: battery, center, service center, service, safety",0.9608690911536394
EV1101,EV Car,MG ZS EV,4,Contributing to a cleaner city is a big motivation behind going electric.,0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9357138471250149
EV1102,EV Scooter,Ola S1,3,"The companion app keeps crashing, needs urgent software updates.",4,"Topic 4: software, month, year, battery, keep",0.943749216857566
EV1103,EV Car,Hyundai Kona,5,"Read reports about battery fires, safety is my biggest concern before buying.",5,"Topic 5: battery, center, service center, service, safety",0.9437495112624689
EV1104,EV Car,Hyundai Kona,4,"Battery performance is stable even after two years of heavy usage. Waiting time for service appointment is too long, more service centers needed.",9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.5062271060582335
EV1105,EV Scooter,Bajaj Chetak,4,"Storage space under the seat is very limited, not practical for daily use. Service center staff are not well trained to handle EV specific issues. Navigation system integrated with range prediction is genuinely useful.",5,"Topic 5: battery, center, service center, service, safety",0.35045929182614693
EV1106,EV Car,Mahindra XUV400,3,"The real world range is much lower than advertised, I only get 8 km on a full charge. Charging takes too long, almost 6 hours for a full charge at home. The upfront price is high but government subsidy makes it affordable.",1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.3702905415666173
EV1107,EV Car,Mahindra XUV400,5,Contributing to a cleaner city is a big motivation behind going electric.,0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9357138471250149
EV1108,EV Scooter,Ola S1,3,Handling and stability at high speed feels very confident and safe. Zero tailpipe emissions is the main reason I chose an electric vehicle.,1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.5133409779998335
EV1109,EV Scooter,Bajaj Chetak,4,"Emergency braking and collision alert systems work really well in traffic. Range drops badly in winter, I lost almost 30% range in cold weather.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.5235884427657514
EV1110,EV Scooter,TVS iQube,4,"Emergency braking and collision alert systems work really well in traffic. The real world range is much lower than advertised, I only get 150 km on a full charge. Navigation system integrated with range prediction is genuinely useful.",1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.6324072555634084
EV1111,EV Scooter,Ampere Magnus,5,EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,4,"Topic 4: software, month, year, battery, keep",0.9499997911747503
EV1112,EV Car,Hyundai Kona,4,I'm always worried about running out of charge before reaching my destination. EV subsidy scheme in my state got delayed and the discount amount reduced suddenly.,4,"Topic 4: software, month, year, battery, keep",0.6115548928968807
EV1113,EV Car,BYD Atto 3,4,"Public chargers are often broken or occupied, need more charging stations urgently. Software glitches caused the dashboard to freeze twice in a month.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.5487457547995752
EV1114,EV Car,Mahindra XUV400,4,"Storage space under the seat is very limited, not practical for daily use. Over the air software updates are a great feature, keeps improving over time.",6,"Topic 6: charging, battery, almost, tier, use",0.5647053829545462
EV1115,EV Scooter,Ampere Magnus,5,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.9549998187898763
EV1116,EV Car,Tata Nexon EV,4,"Advanced safety features like ABS and traction control give peace of mind. After sales support has been excellent, quick response and doorstep service.",3,"Topic 3: safety, use, highway, part, feature",0.5443092716651153
EV1117,EV Scooter,Ampere Magnus,4,"The vehicle has good crash test ratings which reassured my purchase decision. Navigation system integrated with range prediction is genuinely useful. Noise levels are impressively low, riding experience is very smooth and quiet.",9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.6524996180588223
EV1118,EV Scooter,TVS iQube,5,Insurance premium for EV is surprisingly high compared to petrol vehicles.,8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.9249977907310836
EV1119,EV Car,Hyundai Kona,4,"Worried about battery degradation and replacement cost after warranty ends. Over the air software updates are a great feature, keeps improving over time.",6,"Topic 6: charging, battery, almost, tier, use",0.5283399413278838
EV1120,EV Scooter,Ola S1,4,Software glitches caused the dashboard to freeze twice in a month. I'm always worried about running out of charge before reaching my destination.,4,"Topic 4: software, month, year, battery, keep",0.5467697921620219
EV1121,EV Scooter,Hero Vida V1,4,"After sales support has been excellent, quick response and doorstep service.",2,"Topic 2: feel, quality, range, support, quality feel",0.9357136343261091
EV1122,EV Scooter,Hero Vida V1,4,Build quality feels premium and the ride is extremely comfortable.,2,"Topic 2: feel, quality, range, support, quality feel",0.9357133889511634
EV1123,EV Car,BYD Atto 3,3,"Running cost is much lower than petrol, saving a lot on fuel every month.",4,"Topic 4: software, month, year, battery, keep",0.9499988743504476
EV1124,EV Scooter,Ola S1,3,Service center staff are not well trained to handle EV specific issues.,5,"Topic 5: battery, center, service center, service, safety",0.9437489343674283
EV1125,EV Car,Hyundai Kona,4,"Suspension is too stiff, ride quality is uncomfortable on bad roads. Interior quality feels cheap for the price point, needs improvement.",2,"Topic 2: feel, quality, range, support, quality feel",0.6195628453224433
EV1126,EV Scooter,Ampere Magnus,3,"Highway charging stops are rare, long distance travel is a nightmare.",8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.943747950199783
EV1127,EV Car,Mahindra XUV400,3,"Spare parts availability is a major issue, waited a month for a replacement part.",3,"Topic 3: safety, use, highway, part, feature",0.9499992060228337
EV1128,EV Scooter,Hero Vida V1,4,"Advanced safety features like ABS and traction control give peace of mind. Battery replacement cost is almost half the price of the vehicle, very concerning.",3,"Topic 3: safety, use, highway, part, feature",0.5439899413816206
EV1129,EV Scooter,Ampere Magnus,3,"Smart key and app based lock features work flawlessly, very convenient.",9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.9499989773125966
EV1130,EV Scooter,Ather 450X,5,Insurance premium for EV is surprisingly high compared to petrol vehicles.,8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.9249977907310836
EV1131,EV Scooter,Ampere Magnus,5,The design looks futuristic and attracts a lot of attention on the road. Customer support over phone is helpful and resolves issues quickly.,2,"Topic 2: feel, quality, range, support, quality feel",0.966666385997145
EV1132,EV Car,BYD Atto 3,4,Zero tailpipe emissions is the main reason I chose an electric vehicle. The motor is powerful and pickup is much better than petrol variants.,6,"Topic 6: charging, battery, almost, tier, use",0.48260867179309497
EV1133,EV Scooter,Hero Vida V1,4,"Had a great experience with the service team, they explained everything clearly.",4,"Topic 4: software, month, year, battery, keep",0.9357124482698551
EV1134,EV Scooter,Ola S1,4,"Waiting time for service appointment is too long, more service centers needed. Noise levels are impressively low, riding experience is very smooth and quiet.",9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.9709671067186417
EV1135,EV Car,MG ZS EV,3,"Heard about a thermal runaway incident, this has shaken my trust in EV safety.",3,"Topic 3: safety, use, highway, part, feature",0.9357141803880524
EV1136,EV Scooter,Ather 450X,3,Handling and stability at high speed feels very confident and safe.,1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.935713476160822
EV1137,EV Scooter,Ola S1,5,The vehicle has good crash test ratings which reassured my purchase decision.,9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.9249999999727188
EV1138,EV Car,Mahindra XUV400,4,Touchscreen infotainment system lags and is not very intuitive to use.,8,"Topic 8: range, drop, defeat purpose, energy, energy used",0.9249973695171285
EV1139,EV Scooter,Ampere Magnus,3,The upfront price is high but government subsidy makes it affordable. Navigation system integrated with range prediction is genuinely useful.,1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.5391272057170492
EV1140,EV Scooter,Ampere Magnus,4,"Service center staff are not well trained to handle EV specific issues. Interior quality feels cheap for the price point, needs improvement.",2,"Topic 2: feel, quality, range, support, quality feel",0.511670549150338
EV1141,EV Car,Tata Nexon EV,5,Home charging setup was expensive and took weeks to install. Insurance premium for EV is surprisingly high compared to petrol vehicles.,5,"Topic 5: battery, center, service center, service, safety",0.5085286565116063
EV1142,EV Scooter,TVS iQube,4,Build materials feel sturdy but the design is a bit too plain compared to rivals.,6,"Topic 6: charging, battery, almost, tier, use",0.9499987329729866
EV1143,EV Car,Mahindra XUV400,3,"Build quality feels premium and the ride is extremely comfortable. For the price, I expected better build quality and more features.",2,"Topic 2: feel, quality, range, support, quality feel",0.9639991436433965
EV1144,EV Car,Hyundai Kona,4,For daily commute the range is fine but long trips are stressful because of low range.,0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9499975083227754
EV1145,EV Scooter,Ather 450X,5,The upfront price is high but government subsidy makes it affordable.,9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.9357130000184158
EV1146,EV Car,Hyundai Kona,3,Fast charging network needs serious expansion on highways.,3,"Topic 3: safety, use, highway, part, feature",0.935712803955503
EV1147,EV Car,MG ZS EV,4,"Had a great experience with the service team, they explained everything clearly.",4,"Topic 4: software, month, year, battery, keep",0.9357124482698551
EV1148,EV Car,MG ZS EV,5,I'm always worried about running out of charge before reaching my destination.,5,"Topic 5: battery, center, service center, service, safety",0.924998492825782
EV1149,EV Car,Hyundai Kona,5,I'm always worried about running out of charge before reaching my destination.,5,"Topic 5: battery, center, service center, service, safety",0.924998492825782
EV1150,EV Scooter,Ola S1,4,"Public chargers are often broken or occupied, need more charging stations urgently.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9499990601920162
EV1151,EV Scooter,Bajaj Chetak,5,"Over the air software updates are a great feature, keeps improving over time. Heard about a thermal runaway incident, this has shaken my trust in EV safety.",6,"Topic 6: charging, battery, almost, tier, use",0.5014636019481172
EV1152,EV Car,Tesla Model 3,3,"For daily commute the range is fine but long trips are stressful because of low range. Bluetooth connectivity drops frequently while riding, very frustrating.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.5290504312241
EV1153,EV Car,Mahindra XUV400,4,Handling and stability at high speed feels very confident and safe. Battery health dropped to 85% within 18 months of daily use.,6,"Topic 6: charging, battery, almost, tier, use",0.49636355697616413
