review_id,source,product_type,brand,region,date,rating,feedback_text,_true_themes,clean_text_classical,clean_text_bert,lda_topic,lda_topic_confidence,lda_topic_label,nmf_topic,nmf_topic_confidence,nmf_topic_label,bert_topic,bert_topic_confidence,bert_topic_label
EV1015,Marketplace Review,EV Car,Tesla Model 3,Central,3/6/2024,5,"Storage space under the seat is very limited, not practical for daily use.",Design & Aesthetics,storage space seat limited practical daily use,"Storage space under the seat is very limited, not practical for daily use.",3,0.93571352,"Topic 3: safety, use, highway, part, feature",4,0.148974955,"Topic 4: use, daily use, daily, dropped, within month",5,1.0,"Topic 5: air software, improving, great feature, keeps improving, updates great, improving time"
EV1016,Customer Support,EV Scooter,Ampere Magnus,Central,1/12/2024,4,"Charging takes too long, almost 6 hours for a full charge at home. Stability control on wet roads is impressive and inspires confidence.","Charging Infrastructure, Safety Features",charging take long almost hour full charge home stability control wet road impressive inspires confidence,"Charging takes too long, almost 6 hours for a full charge at home. Stability control on wet roads is impressive and inspires confidence.",0,0.493381041,"Topic 0: cost, battery, replacement cost, replacement, city",7,0.178176302,"Topic 7: riding, low, smooth, level, impressively",3,0.010396015455196998,"Topic 3: low, stability control, control wet, impressive, impressive inspires, wet"
EV1017,Customer Support,EV Scooter,Ola S1,West,6/10/2024,4,"The companion app keeps crashing, needs urgent software updates.",Software & Connectivity,companion app keep crashing need urgent software update,"The companion app keeps crashing, needs urgent software updates.",4,0.943749217,"Topic 4: software, month, year, battery, keep",6,0.391311163,"Topic 6: app, keep, update, software update, need",17,1.0,"Topic 17: app keeps, crashing, crashing needs, companion app, companion, urgent software"
EV1018,Social Media,EV Scooter,Ampere Magnus,Central,4/18/2024,4,"Had a great experience with the service team, they explained everything clearly.",Service & After-Sales,great experience service team explained everything clearly,"Had a great experience with the service team, they explained everything clearly.",4,0.935712448,"Topic 4: software, month, year, battery, keep",8,0.103109565,"Topic 8: service, service center, center, appointment long, center needed",8,1.0,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured"
EV1019,Customer Support,EV Car,MG ZS EV,South,6/27/2025,4,Battery range degrades faster than expected after just one year of use. Acceleration is smooth and instant torque makes overtaking effortless.,"Range Anxiety, Performance & Ride Quality",battery range degrades faster expected year use acceleration smooth instant torque make overtaking effortless,Battery range degrades faster than expected after just one year of use. Acceleration is smooth and instant torque makes overtaking effortless.,4,0.966664944,"Topic 4: software, month, year, battery, keep",7,0.057597284,"Topic 7: riding, low, smooth, level, impressively",9,1.0,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic"
EV1020,Customer Support,EV Car,Hyundai Kona,South,2/29/2024,5,"Running cost is much lower than petrol, saving a lot on fuel every month.",Price & Subsidy,running cost lower petrol saving lot fuel every month,"Running cost is much lower than petrol, saving a lot on fuel every month.",4,0.949998874,"Topic 4: software, month, year, battery, keep",9,0.051628088,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",9,0.009748750520590703,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic"
EV1021,Marketplace Review,EV Car,Tesla Model 3,North,6/29/2025,5,Battery health dropped to 85% within 18 months of daily use.,Battery Life & Degradation,battery health dropped within month daily use,Battery health dropped to 85% within 18 months of daily use.,6,0.935712492,"Topic 6: charging, battery, almost, tier, use",4,0.39372037,"Topic 4: use, daily use, daily, dropped, within month",13,1.0,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily"
EV1022,Social Media,EV Scooter,Ampere Magnus,East,6/24/2025,4,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat. LED lighting and digital dashboard give it a premium, modern look. Price after subsidy is still higher than a comparable petrol scooter.","Environmental Impact, Design & Aesthetics, Price & Subsidy",energy used charge come mostly coal region defeat purpose somewhat led lighting digital dashboard give premium modern look price subsidy higher comparable petrol scooter,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat. LED lighting and digital dashboard give it a premium, modern look. Price after subsidy is still higher than a comparable petrol scooter.",8,0.444270966,"Topic 8: range, drop, defeat purpose, energy, energy used",1,0.2777462,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",6,0.7696989027119853,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes"
EV1023,Customer Support,EV Scooter,Bajaj Chetak,West,6/13/2025,4,"Over the air software updates are a great feature, keeps improving over time. Public chargers are often broken or occupied, need more charging stations urgently. Resale value of electric vehicles is still uncertain, worried about depreciation.","Software & Connectivity, Charging Infrastructure, Price & Subsidy",air software update great feature keep improving time public charger often broken occupied need charging station urgently resale value uncertain worried depreciation,"Over the air software updates are a great feature, keeps improving over time. Public chargers are often broken or occupied, need more charging stations urgently. Resale value of electric vehicles is still uncertain, worried about depreciation.",0,0.404035942,"Topic 0: cost, battery, replacement cost, replacement, city",6,0.175543958,"Topic 6: app, keep, update, software update, need",5,1.0,"Topic 5: air software, improving, great feature, keeps improving, updates great, improving time"
EV1024,Social Media,EV Car,BYD Atto 3,Central,8/13/2024,3,"Range drops badly in winter, I lost almost 30% range in cold weather.",Range Anxiety,range drop badly winter lost almost range cold weather,"Range drops badly in winter, I lost almost 30% range in cold weather.",8,0.949999084,"Topic 8: range, drop, defeat purpose, energy, energy used",7,0.062578708,"Topic 7: riding, low, smooth, level, impressively",23,1.0,"Topic 23: 30 range, badly, badly winter, cold weather, drops badly, cold"
EV1025,Survey,EV Car,MG ZS EV,North,12/4/2024,3,Fast charging network needs serious expansion on highways.,Charging Infrastructure,fast charging network need serious expansion highway,Fast charging network needs serious expansion on highways.,3,0.935712804,"Topic 3: safety, use, highway, part, feature",6,0.075128743,"Topic 6: app, keep, update, software update, need",2,1.0,"Topic 2: makes, high, size makes, park, easy, maneuver"
EV1026,Marketplace Review,EV Scooter,Hero Vida V1,South,5/15/2024,3,"Zero tailpipe emissions is the main reason I chose an electric vehicle. Smart key and app based lock features work flawlessly, very convenient.","Environmental Impact, Software & Connectivity",zero tailpipe emission main reason chose smart key app based lock feature work flawlessly convenient,"Zero tailpipe emissions is the main reason I chose an electric vehicle. Smart key and app based lock features work flawlessly, very convenient.",9,0.554154752,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",6,0.155088663,"Topic 6: app, keep, update, software update, need",19,1.0,"Topic 19: chose, chose electric, emissions, emissions main, reason, reason chose"
EV1027,Social Media,EV Scooter,Bajaj Chetak,North,4/9/2024,4,Loved the color options and the overall styling of the vehicle.,Design & Aesthetics,loved color option overall styling,Loved the color options and the overall styling of the vehicle.,6,0.91,"Topic 6: charging, battery, almost, tier, use",1,0.016621026,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",24,0.033073133006838014,"Topic 24: braking, braking feels, braking works, responsive, regenerative braking, responsive regenerative"
EV1028,Marketplace Review,EV Scooter,Bajaj Chetak,North,4/10/2024,5,For daily commute the range is fine but long trips are stressful because of low range.,Range Anxiety,daily commute range fine long trip stressful low range,For daily commute the range is fine but long trips are stressful because of low range.,0,0.949997508,"Topic 0: cost, battery, replacement cost, replacement, city",7,0.096873282,"Topic 7: riding, low, smooth, level, impressively",1,1.0,"Topic 1: range, transparent, proper, time company, proper information, battery degrades"
EV1029,Social Media,EV Scooter,Ola S1,South,7/13/2024,4,"Read reports about battery fires, safety is my biggest concern before buying. Bluetooth connectivity drops frequently while riding, very frustrating.","Safety Features, Software & Connectivity",read report battery fire safety biggest concern buying bluetooth connectivity drop frequently riding frustrating,"Read reports about battery fires, safety is my biggest concern before buying. Bluetooth connectivity drops frequently while riding, very frustrating.",5,0.55925954,"Topic 5: battery, center, service center, service, safety",7,0.063628414,"Topic 7: riding, low, smooth, level, impressively",11,1.0,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently"
EV1030,Marketplace Review,EV Car,Hyundai Kona,South,3/18/2024,4,"The companion app keeps crashing, needs urgent software updates. Advanced safety features like ABS and traction control give peace of mind.","Software & Connectivity, Safety Features",companion app keep crashing need urgent software update advanced safety feature ab traction control give peace mind,"The companion app keeps crashing, needs urgent software updates. Advanced safety features like ABS and traction control give peace of mind.",3,0.524729941,"Topic 3: safety, use, highway, part, feature",3,0.284860176,"Topic 3: ab, ab traction, control give, traction, traction control",17,1.0,"Topic 17: app keeps, crashing, crashing needs, companion app, companion, urgent software"
EV1031,Social Media,EV Car,Tata Nexon EV,South,2/20/2025,3,"Bluetooth connectivity drops frequently while riding, very frustrating.",Software & Connectivity,bluetooth connectivity drop frequently riding frustrating,"Bluetooth connectivity drops frequently while riding, very frustrating.",8,0.924999723,"Topic 8: range, drop, defeat purpose, energy, energy used",7,0.103162611,"Topic 7: riding, low, smooth, level, impressively",11,1.0,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently"
EV1032,Survey,EV Car,Mahindra XUV400,South,1/23/2025,3,"Range anxiety is real, I plan every trip around charging stops now. LED lighting and digital dashboard give it a premium, modern look.","Range Anxiety, Design & Aesthetics",range anxiety real plan every trip around charging stop led lighting digital dashboard give premium modern look,"Range anxiety is real, I plan every trip around charging stops now. LED lighting and digital dashboard give it a premium, modern look.",2,0.501565885,"Topic 2: feel, quality, range, support, quality feel",9,0.118460541,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",20,0.0006139865863921499,"Topic 20: dashboard, caused, freeze twice, glitches, freeze, glitches caused"
EV1033,Marketplace Review,EV Scooter,TVS iQube,Central,5/13/2025,5,Battery health dropped to 85% within 18 months of daily use.,Battery Life & Degradation,battery health dropped within month daily use,Battery health dropped to 85% within 18 months of daily use.,6,0.935712492,"Topic 6: charging, battery, almost, tier, use",4,0.39372037,"Topic 4: use, daily use, daily, dropped, within month",13,1.0,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily"
EV1034,Survey,EV Scooter,Ather 450X,Central,3/3/2024,5,Acceleration is smooth and instant torque makes overtaking effortless.,Performance & Ride Quality,acceleration smooth instant torque make overtaking effortless,Acceleration is smooth and instant torque makes overtaking effortless.,4,0.935713353,"Topic 4: software, month, year, battery, keep",7,0.070715509,"Topic 7: riding, low, smooth, level, impressively",23,1.0,"Topic 23: 30 range, badly, badly winter, cold weather, drops badly, cold"
EV1035,Marketplace Review,EV Car,BYD Atto 3,Central,6/27/2025,3,"Battery performance is stable even after two years of heavy usage. Range drops badly in winter, I lost almost 30% range in cold weather.","Battery Life & Degradation, Range Anxiety",battery performance stable two year heavy usage range drop badly winter lost almost range cold weather,"Battery performance is stable even after two years of heavy usage. Range drops badly in winter, I lost almost 30% range in cold weather.",8,0.548743197,"Topic 8: range, drop, defeat purpose, energy, energy used",7,0.050595456,"Topic 7: riding, low, smooth, level, impressively",23,0.08825772129472723,"Topic 23: 30 range, badly, badly winter, cold weather, drops badly, cold"
EV1036,Survey,EV Car,Tata Nexon EV,South,2/17/2025,3,"Finding a working charging station in my city is still very difficult. Running cost is much lower than petrol, saving a lot on fuel every month.","Charging Infrastructure, Price & Subsidy",finding working charging station city difficult running cost lower petrol saving lot fuel every month,"Finding a working charging station in my city is still very difficult. Running cost is much lower than petrol, saving a lot on fuel every month.",4,0.547708621,"Topic 4: software, month, year, battery, keep",9,0.053175032,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0,1.0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic"
EV1037,Customer Support,EV Scooter,Hero Vida V1,East,7/28/2024,4,"Braking system feels sharp and responsive, regenerative braking works well. Insurance premium for EV is surprisingly high compared to petrol vehicles.","Performance & Ride Quality, Price & Subsidy",braking system feel sharp responsive regenerative braking work well insurance premium surprisingly high compared petrol,"Braking system feels sharp and responsive, regenerative braking works well. Insurance premium for EV is surprisingly high compared to petrol vehicles.",7,0.585927245,"Topic 7: braking, work, system, work well, well",2,0.288497497,"Topic 2: braking, system, work well, work, well",24,1.0,"Topic 24: braking, braking feels, braking works, responsive, regenerative braking, responsive regenerative"
EV1038,Customer Support,EV Car,Tesla Model 3,West,11/19/2024,5,"Charging infrastructure in tier 2 and tier 3 cities is almost non-existent. Range drops badly in winter, I lost almost 30% range in cold weather.","Charging Infrastructure, Range Anxiety",charging infrastructure tier tier city almost non existent range drop badly winter lost almost range cold weather,"Charging infrastructure in tier 2 and tier 3 cities is almost non-existent. Range drops badly in winter, I lost almost 30% range in cold weather.",8,0.523022533,"Topic 8: range, drop, defeat purpose, energy, energy used",7,0.045795541,"Topic 7: riding, low, smooth, level, impressively",16,1.0,"Topic 16: tier, surprisingly, surprisingly high, compared petrol, insurance premium, insurance"
EV1039,Social Media,EV Car,BYD Atto 3,Central,9/28/2024,4,The battery warranty of 100 years gives me confidence in long term reliability.,Battery Life & Degradation,battery warranty year give confidence long term reliability,The battery warranty of 100 years gives me confidence in long term reliability.,4,0.943748007,"Topic 4: software, month, year, battery, keep",8,0.048653052,"Topic 8: service, service center, center, appointment long, center needed",4,1.0,"Topic 4: big motivation, big, motivation going, motivation, contributing, going"
EV1040,Customer Support,EV Car,Hyundai Kona,South,3/24/2025,4,Stability control on wet roads is impressive and inspires confidence.,Safety Features,stability control wet road impressive inspires confidence,Stability control on wet roads is impressive and inspires confidence.,0,0.935713446,"Topic 0: cost, battery, replacement cost, replacement, city",7,0.259998231,"Topic 7: riding, low, smooth, level, impressively",3,1.0,"Topic 3: low, stability control, control wet, impressive, impressive inspires, wet"
EV1041,Survey,EV Scooter,Ampere Magnus,Central,11/2/2024,4,Home charging setup was expensive and took weeks to install.,Charging Infrastructure,home charging setup expensive took week install,Home charging setup was expensive and took weeks to install.,5,0.935713411,"Topic 5: battery, center, service center, service, safety",5,0.034397189,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",11,1.0,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently"
EV1042,Survey,EV Scooter,Ola S1,Central,6/8/2024,3,"After sales support has been excellent, quick response and doorstep service.",Service & After-Sales,sale support excellent quick response doorstep service,"After sales support has been excellent, quick response and doorstep service.",2,0.935713634,"Topic 2: feel, quality, range, support, quality feel",8,0.11298738,"Topic 8: service, service center, center, appointment long, center needed",21,1.0,"Topic 21: cost warranty, battery degradation, warranty ends, ends, degradation replacement, worried battery"
EV1043,Customer Support,EV Car,Tesla Model 3,South,9/27/2024,5,Emergency braking and collision alert systems work really well in traffic.,Safety Features,emergency braking collision alert system work well traffic,Emergency braking and collision alert systems work really well in traffic.,7,0.943749731,"Topic 7: braking, work, system, work well, well",2,0.319097782,"Topic 2: braking, system, work well, work, well",0,0.015254685014420316,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic"
EV1044,Survey,EV Scooter,Ola S1,West,10/10/2024,3,"I'm always worried about running out of charge before reaching my destination. Concerned about environmental impact of battery disposal and recycling. Suspension is too stiff, ride quality is uncomfortable on bad roads.","Range Anxiety, Environmental Impact, Performance & Ride Quality",always worried running charge reaching destination concerned environmental impact battery disposal recycling suspension stiff ride quality uncomfortable road,"I'm always worried about running out of charge before reaching my destination. Concerned about environmental impact of battery disposal and recycling. Suspension is too stiff, ride quality is uncomfortable on bad roads.",0,0.351431878,"Topic 0: cost, battery, replacement cost, replacement, city",5,0.229865708,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",12,0.0414493487233424,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental"
EV1045,Marketplace Review,EV Scooter,Ampere Magnus,Central,1/10/2024,3,"Home charging setup was expensive and took weeks to install. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.","Charging Infrastructure, Environmental Impact",home charging setup expensive took week install energy used charge come mostly coal region defeat purpose somewhat,"Home charging setup was expensive and took weeks to install. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.",8,0.584844756,"Topic 8: range, drop, defeat purpose, energy, energy used",1,0.334721166,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",6,1.0,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes"
EV1046,Social Media,EV Car,Hyundai Kona,West,5/10/2024,4,"Range anxiety is real, I plan every trip around charging stops now.",Range Anxiety,range anxiety real plan every trip around charging stop,"Range anxiety is real, I plan every trip around charging stops now.",2,0.949997191,"Topic 2: feel, quality, range, support, quality feel",9,0.026957355,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",15,0.0006139871922681649,"Topic 15: highway, discount, ev subsidy, delayed discount, subsidy scheme, state got"
EV1047,Customer Support,EV Scooter,Ola S1,South,9/12/2024,4,"Love the app that shows nearby charging stations, very convenient feature.",Charging Infrastructure,love app show nearby charging station convenient feature,"Love the app that shows nearby charging stations, very convenient feature.",6,0.943748039,"Topic 6: charging, battery, almost, tier, use",6,0.138731495,"Topic 6: app, keep, update, software update, need",8,0.01113657970728447,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured"
EV1048,Social Media,EV Scooter,Ampere Magnus,South,6/15/2024,5,"Battery health dropped to 85% within 18 months of daily use. Build materials feel sturdy but the design is a bit too plain compared to rivals. AC usage kills the range, on hot days I barely get half the claimed distance.","Battery Life & Degradation, Design & Aesthetics, Range Anxiety",battery health dropped within month daily use build material feel sturdy design bit plain compared rival usage kill range hot day barely half claimed distance,"Battery health dropped to 85% within 18 months of daily use. Build materials feel sturdy but the design is a bit too plain compared to rivals. AC usage kills the range, on hot days I barely get half the claimed distance.",6,0.628914733,"Topic 6: charging, battery, almost, tier, use",4,0.179782714,"Topic 4: use, daily use, daily, dropped, within month",13,0.9471895810565474,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily"
EV1049,Social Media,EV Scooter,Hero Vida V1,East,6/12/2024,5,"Finding a working charging station in my city is still very difficult. LED lighting and digital dashboard give it a premium, modern look.","Charging Infrastructure, Design & Aesthetics",finding working charging station city difficult led lighting digital dashboard give premium modern look,"Finding a working charging station in my city is still very difficult. LED lighting and digital dashboard give it a premium, modern look.",0,0.96666594,"Topic 0: cost, battery, replacement cost, replacement, city",9,0.126251548,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0,1.0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic"
EV1050,Social Media,EV Scooter,Ather 450X,West,12/24/2024,5,"There are very few authorized service centers, had to travel 80 km for repair. Price after subsidy is still higher than a comparable petrol scooter.","Service & After-Sales, Price & Subsidy",authorized service center travel repair price subsidy higher comparable petrol scooter,"There are very few authorized service centers, had to travel 80 km for repair. Price after subsidy is still higher than a comparable petrol scooter.",9,0.587122219,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",8,0.175126218,"Topic 8: service, service center, center, appointment long, center needed",6,0.005800634754560807,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes"
EV1051,Customer Support,EV Scooter,TVS iQube,North,10/12/2024,4,"Noise levels are impressively low, riding experience is very smooth and quiet. Stability control on wet roads is impressive and inspires confidence.","Performance & Ride Quality, Safety Features",noise level impressively low riding experience smooth quiet stability control wet road impressive inspires confidence,"Noise levels are impressively low, riding experience is very smooth and quiet. Stability control on wet roads is impressive and inspires confidence.",9,0.504095495,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",7,0.431734844,"Topic 7: riding, low, smooth, level, impressively",3,0.19806197972764675,"Topic 3: low, stability control, control wet, impressive, impressive inspires, wet"
EV1052,Survey,EV Scooter,Ola S1,East,7/1/2024,4,Concerned about environmental impact of battery disposal and recycling.,Environmental Impact,concerned environmental impact battery disposal recycling,Concerned about environmental impact of battery disposal and recycling.,9,0.924998615,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",5,0.435865403,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",12,1.0,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental"
EV1053,Marketplace Review,EV Car,Tata Nexon EV,East,11/17/2024,4,Compact size makes it easy to park and maneuver in city traffic.,Design & Aesthetics,compact size make easy park maneuver city traffic,Compact size makes it easy to park and maneuver in city traffic.,1,0.943749361,"Topic 1: range, system, genuinely, useful, genuinely useful",0,0.030857381,"Topic 0: cost, replacement cost, replacement, price, battery",2,0.09151193190113724,"Topic 2: makes, high, size makes, park, easy, maneuver"
EV1054,Social Media,EV Car,Mahindra XUV400,East,2/15/2024,3,"Compact size makes it easy to park and maneuver in city traffic. Claimed range of 250 km is misleading, actual range is way less in city traffic.","Design & Aesthetics, Range Anxiety",compact size make easy park maneuver city traffic claimed range misleading actual range way less city traffic,"Compact size makes it easy to park and maneuver in city traffic. Claimed range of 250 km is misleading, actual range is way less in city traffic.",1,0.55200194,"Topic 1: range, system, genuinely, useful, genuinely useful",2,0.031181559,"Topic 2: braking, system, work well, work, well",2,0.08959250173704904,"Topic 2: makes, high, size makes, park, easy, maneuver"
